"","earn","height1","height2","sex","race","hisp","ed","yearbn","height","age","age_category","eth","male"
"710",17000,5,9,1,1,2,12,44,69,46,2,3,1
"713",24000,5,8,1,1,2,14,41,68,49,2,3,1
"714",5000,5,2,2,1,2,11,19,62,71,3,3,0
"716",11000,5,6,2,1,2,12,67,66,23,1,3,0
"717",10000,5,5,1,1,2,13,63,65,27,1,3,1
"718",40000,5,10,1,1,2,14,54,70,36,2,3,1
"719",0,5,6,2,2,2,12,53,66,37,2,1,0
"721",40000,5,10,1,1,2,12,43,70,47,2,3,1
"722",24000,5,6,2,2,2,14,61,66,29,1,1,0
"726",24000,5,8,1,1,2,16,64,68,26,1,3,1
"727",20000,5,8,1,1,2,16,57,68,33,1,3,1
"730",60000,5,10,1,1,2,18,40,70,50,3,3,1
"731",11000,5,5,2,1,2,13,43,65,47,2,3,0
"732",5000,5,4,2,1,2,15,50,64,40,2,3,0
"736",27000,5,5,2,1,2,16,60,65,30,1,3,0
"737",89000,6,5,1,1,2,16,49,77,41,2,3,1
"738",40000,5,10,1,1,2,14,62,70,28,1,3,1
"739",15000,5,4,2,1,2,16,64,64,26,1,3,0
"740",1000,5,4,2,1,2,14,70,64,20,1,3,0
"742",0,5,2,2,1,2,12,62,62,28,1,3,0
"743",22000,5,4,2,1,2,12,30,64,60,3,3,0
"744",12000,5,4,2,1,2,8,42,64,48,2,3,0
"745",22000,5,3,2,1,2,16,62,63,28,1,3,0
"746",40000,4,10,2,2,2,12,34,58,56,3,1,0
"748",0,5,6,2,1,2,12,32,66,58,3,3,0
"750",40000,5,2,2,1,2,16,46,62,44,2,3,0
"751",0,5,1,2,1,2,13,48,61,42,2,3,0
"752",35000,5,4,2,1,1,14,37,64,53,3,2,0
"753",7000,5,4,2,1,2,12,62,64,28,1,3,0
"755",14000,5,2,2,1,2,12,53,62,37,2,3,0
"757",15000,5,4,2,1,2,12,34,64,56,3,3,0
"759",0,5,6,2,2,2,14,59,66,31,1,1,0
"760",6000,5,6,2,1,2,13,56,66,34,1,3,0
"761",11000,5,9,2,2,2,12,49,69,41,2,1,0
"763",10000,5,4,2,1,2,13,59,64,31,1,3,0
"764",0,5,2,2,1,2,12,31,62,59,3,3,0
"766",20000,5,11,1,1,2,14,49,71,41,2,3,1
"768",7000,5,2,2,1,2,12,17,62,73,3,3,0
"769",38000,5,8,1,1,2,9,44,68,46,2,3,1
"770",29000,5,8,1,1,2,9,32,68,58,3,3,1
"771",20000,5,2,2,1,2,10,46,62,44,2,3,0
"772",8000,5,3,2,1,2,12,33,63,57,3,3,0
"773",36000,5,9,1,1,2,16,39,69,51,3,3,1
"774",1500,5,7,2,1,2,12,46,67,44,2,3,0
"775",42000,5,4,2,1,2,18,61,64,29,1,3,0
"777",25000,5,10,1,1,2,12,68,70,22,1,3,1
"780",13000,5,9,1,1,2,10,70,69,20,1,3,1
"785",30000,5,9,1,2,2,11,39,69,51,3,1,1
"786",7000,5,9,1,1,2,12,67,69,23,1,3,1
"788",31000,5,0,2,2,2,12,42,60,48,2,1,0
"789",15000,5,6,2,2,2,12,48,66,42,2,1,0
"790",0,5,0,2,1,2,18,49,60,41,2,3,0
"791",50000,5,7,1,1,2,16,41,67,49,2,3,1
"793",5000,5,6,1,1,2,15,70,66,20,1,3,1
"795",600,5,10,2,2,2,12,72,70,18,1,1,0
"796",14000,5,4,2,2,2,8,39,64,51,3,1,0
"798",40000,5,0,2,3,2,18,55,60,35,2,4,0
"799",24000,5,8,1,1,2,18,54,68,36,2,3,1
"801",22000,6,1,1,2,2,12,66,73,24,1,1,1
"802",20000,6,0,1,1,2,8,54,72,36,2,3,1
"803",20112,5,4,2,1,2,12,52,64,38,2,3,0
"804",12000,5,7,1,1,2,13,23,67,67,3,3,1
"808",41000,5,7,2,1,2,13,50,67,40,2,3,0
"809",13000,5,11,1,2,2,9,40,71,50,3,1,1
"810",0,5,3,2,1,2,12,65,63,25,1,3,0
"811",60000,6,1,1,1,2,16,59,73,31,1,3,1
"812",24000,5,10,1,1,2,16,65,70,25,1,3,1
"813",38000,5,10,1,1,2,16,54,70,36,2,3,1
"814",3000,5,11,2,1,2,14,63,71,27,1,3,0
"815",13000,5,6,2,1,2,12,60,66,30,1,3,0
"816",5000,6,3,1,1,2,12,69,75,21,1,3,1
"817",20000,5,0,2,1,2,14,53,60,37,2,3,0
"818",22000,6,0,1,1,2,12,62,72,28,1,3,1
"820",0,5,3,2,2,2,16,67,63,23,1,1,0
"821",28000,6,3,1,2,2,9,35,75,55,3,1,1
"822",22000,5,0,2,1,2,12,49,60,41,2,3,0
"823",30000,6,1,1,2,2,12,46,73,44,2,1,1
"825",30000,5,5,2,2,2,12,58,65,32,1,1,0
"828",30000,5,7,1,1,2,16,59,67,31,1,3,1
"829",32000,5,1,2,1,2,12,21,61,69,3,3,0
"830",26000,5,9,2,1,2,17,47,69,43,2,3,0
"831",22000,5,4,2,1,2,14,56,64,34,1,3,0
"833",25000,5,10,1,1,2,12,57,70,33,1,3,1
"834",11000,5,8,2,1,2,10,66,68,24,1,3,0
"836",13000,5,2,2,1,2,12,37,62,53,3,3,0
"837",10000,5,4,2,1,2,15,48,64,42,2,3,0
"838",0,5,8,2,1,2,12,66,68,24,1,3,0
"840",12000,5,8,2,1,2,12,45,68,45,2,3,0
"842",0,5,6,1,1,2,13,33,66,57,3,3,1
"843",7000,5,4,2,1,2,11,26,64,64,3,3,0
"844",57000,6,1,1,1,2,14,53,73,37,2,3,1
"845",36000,6,1,1,1,2,16,53,73,37,2,3,1
"846",29000,5,9,1,1,1,14,61,69,29,1,2,1
"847",8000,5,8,2,1,2,13,71,68,19,1,3,0
"848",3000,5,11,1,2,2,11,72,71,18,1,1,1
"849",0,5,3,2,1,2,12,26,63,64,3,3,0
"851",20000,5,6,2,1,2,16,49,66,41,2,3,0
"852",0,5,6,2,1,2,12,54,66,36,2,3,0
"853",33000,5,6,1,1,2,12,33,66,57,3,3,1
"854",15000,5,8,2,1,1,12,22,68,68,3,2,0
"855",16000,5,10,1,1,2,12,57,70,33,1,3,1
"856",5000,5,2,2,1,2,12,12,62,78,3,3,0
"857",8000,5,6,2,1,2,14,47,66,43,2,3,0
"858",32000,5,3,2,2,2,16,56,63,34,1,1,0
"859",14500,6,3,1,1,2,12,66,75,24,1,3,1
"860",13000,5,7,2,1,2,12,61,67,29,1,3,0
"863",0,5,2,2,1,2,10,70,62,20,1,3,0
"865",7000,5,3,2,1,2,9,65,63,25,1,3,0
"866",50000,5,5,2,2,2,18,25,65,65,3,1,0
"867",12000,5,9,2,2,2,12,55,69,35,2,1,0
"868",19000,5,11,1,1,2,14,29,71,61,3,3,1
"870",9000,5,2,2,1,2,12,35,62,55,3,3,0
"872",20000,5,5,2,2,2,12,55,65,35,2,1,0
"873",55000,6,0,1,1,1,18,55,72,35,2,2,1
"877",10000,5,5,2,1,2,12,50,65,40,2,3,0
"880",13000,5,3,2,1,2,12,71,63,19,1,3,0
"882",20000,5,4,2,1,2,13,59,64,31,1,3,0
"884",30000,6,0,1,1,2,12,64,72,26,1,3,1
"885",12000,5,4,2,1,2,12,56,64,34,1,3,0
"886",26000,5,10,2,1,2,13,57,70,33,1,3,0
"887",12500,5,5,2,1,2,12,63,65,27,1,3,0
"888",8000,5,4,2,1,2,12,61,64,29,1,3,0
"889",15000,5,4,2,1,1,16,58,64,32,1,2,0
"890",65000,5,7,1,1,2,14,65,67,25,1,3,1
"891",25000,6,1,1,1,2,10,69,73,21,1,3,1
"892",8000,6,1,1,1,1,14,69,73,21,1,2,1
"893",15000,5,5,1,3,2,14,69,65,21,1,4,1
"894",12000,5,4,2,1,2,16,50,64,40,2,3,0
"896",35000,5,7,2,2,2,13,53,67,37,2,1,0
"897",40000,5,7,1,1,2,16,59,67,31,1,3,1
"899",29000,6,2,1,1,2,12,68,74,22,1,3,1
"903",15000,5,3,2,1,2,13,59,63,31,1,3,0
"904",20000,6,2,1,1,2,12,54,74,36,2,3,1
"905",3000,6,2,1,2,2,6,28,74,62,3,1,1
"906",1000,5,3,2,2,2,16,71,63,19,1,1,0
"907",8000,5,2,2,2,2,11,67,62,23,1,1,0
"908",5000,5,2,2,1,2,12,72,62,18,1,3,0
"909",25000,5,7,2,1,2,16,63,67,27,1,3,0
"911",20000,5,9,1,1,2,12,33,69,57,3,3,1
"913",30000,6,1,1,1,2,12,56,73,34,1,3,1
"914",12000,5,3,2,1,2,12,55,63,35,2,3,0
"916",0,5,0,2,1,2,12,56,60,34,1,3,0
"922",10000,5,7,2,1,2,14,58,67,32,1,3,0
"923",16000,5,9,1,1,2,12,71,69,19,1,3,1
"924",45000,5,11,1,1,2,12,61,71,29,1,3,1
"925",40000,6,0,1,1,2,14,36,72,54,3,3,1
"927",0,5,3,2,1,2,12,28,63,62,3,3,0
"929",25000,5,10,1,1,2,14,9,70,81,3,3,1
"930",19000,5,4,2,1,2,14,38,64,52,3,3,0
"931",17600,5,4,2,1,2,16,60,64,30,1,3,0
"932",7000,5,8,1,1,2,12,23,68,67,3,3,1
"933",30000,6,2,1,1,2,12,58,74,32,1,3,1
"934",18000,5,2,2,1,2,11,43,62,47,2,3,0
"936",25000,5,5,2,1,2,16,43,65,47,2,3,0
"937",0,5,6,2,1,2,14,35,66,55,3,3,0
"938",6000,5,0,2,1,2,5,28,60,62,3,3,0
"939",70000,5,9,1,1,2,18,48,69,42,2,3,1
"940",15000,5,1,2,3,2,16,56,61,34,1,4,0
"942",25000,5,5,2,1,2,17,57,65,33,1,3,0
"943",35000,5,6,2,1,2,16,62,66,28,1,3,0
"944",18000,5,10,1,1,2,16,66,70,24,1,3,1
"945",28000,6,0,1,2,2,15,60,72,30,1,1,1
"948",15000,5,4,2,1,1,11,69,64,21,1,2,0
"949",22000,5,11,1,1,1,14,62,71,28,1,2,1
"950",0,5,3,2,1,2,12,61,63,29,1,3,0
"951",35000,6,1,1,1,2,12,60,73,30,1,3,1
"952",18000,5,4,2,2,2,15,44,64,46,2,1,0
"953",35000,5,8,1,1,2,14,53,68,37,2,3,1
"954",16400,5,4,2,2,2,12,69,64,21,1,1,0
"955",22000,5,6,1,2,2,16,53,66,37,2,1,1
"956",30000,5,7,2,1,2,16,32,67,58,3,3,0
"957",17000,5,4,2,1,1,12,63,64,27,1,2,0
"958",25000,5,4,2,2,2,14,54,64,36,2,1,0
"959",10000,5,2,2,1,2,12,39,62,51,3,3,0
"960",40000,5,9,1,1,2,12,53,69,37,2,3,1
"961",12500,5,3,2,1,2,12,27,63,63,3,3,0
"965",35000,6,0,1,1,2,15,45,72,45,2,3,1
"966",0,5,1,2,9,1,16,67,61,23,1,2,0
"967",105000,6,3,1,1,2,12,41,75,49,2,3,1
"969",1e+05,5,10,1,1,2,18,50,70,40,2,3,1
"971",21000,5,9,1,1,2,12,39,69,51,3,3,1
"972",10000,5,4,2,1,2,14,34,64,56,3,3,0
"973",33000,6,0,1,1,2,12,64,72,26,1,3,1
"974",26000,5,9,1,1,2,18,65,69,25,1,3,1
"975",60000,5,3,2,1,2,10,12,63,78,3,3,0
"978",18000,5,11,1,1,2,16,45,71,45,2,3,1
"980",15000,4,11,2,1,2,8,29,59,61,3,3,0
"981",5000,5,8,1,1,2,13,70,68,20,1,3,1
"983",60000,6,5,1,1,2,17,48,77,42,2,3,1
"984",12000,5,8,2,1,2,14,21,68,69,3,3,0
"985",28000,5,10,1,2,2,18,52,70,38,2,1,1
"986",42000,5,9,1,1,2,18,47,69,43,2,3,1
"987",2000,5,3,2,1,2,12,57,63,33,1,3,0
"989",20000,6,1,1,2,2,18,57,73,33,1,1,1
"990",28000,5,6,1,3,2,15,50,66,40,2,4,1
"991",10000,6,0,1,2,2,17,28,72,62,3,1,1
"992",0,5,6,1,1,2,16,25,66,65,3,3,1
"993",31000,6,0,1,2,2,12,59,72,31,1,1,1
"994",17000,5,9,2,2,2,13,53,69,37,2,1,0
"995",16000,5,7,2,1,2,12,51,67,39,2,3,0
"996",35000,5,6,2,1,2,15,52,66,38,2,3,0
"997",3000,5,7,2,1,2,12,64,67,26,1,3,0
"1001",16000,5,8,2,1,2,18,51,68,39,2,3,0
"1002",35000,5,5,2,2,2,15,48,65,42,2,1,0
"1003",27000,5,2,2,2,2,17,57,62,33,1,1,0
"1004",25000,5,9,1,1,2,17,61,69,29,1,3,1
"1005",0,5,2,2,1,2,14,12,62,78,3,3,0
"1006",40000,5,10,1,1,2,16,49,70,41,2,3,1
"1007",45000,5,6,2,1,2,16,47,66,43,2,3,0
"1008",14000,5,6,1,1,2,12,67,66,23,1,3,1
"1010",25000,5,6,2,1,2,14,53,66,37,2,3,0
"1012",40000,6,0,1,1,2,12,48,72,42,2,3,1
"1015",34000,5,9,1,1,2,12,55,69,35,2,3,1
"1016",40000,5,6,1,1,2,12,56,66,34,1,3,1
"1018",35000,5,9,1,1,2,14,62,69,28,1,3,1
"1019",12000,5,0,2,1,1,12,39,60,51,3,2,0
"1020",30000,5,5,2,1,2,17,47,65,43,2,3,0
"1021",23000,5,2,2,1,2,12,50,62,40,2,3,0
"1022",2000,5,7,2,1,2,12,60,67,30,1,3,0
"1023",20000,5,7,1,1,2,14,65,67,25,1,3,1
"1024",10000,5,8,2,2,2,9,28,68,62,3,1,0
"1025",0,5,5,2,2,2,6,23,65,67,3,1,0
"1030",60000,5,6,2,2,2,16,47,66,43,2,1,0
"1031",12000,6,2,1,2,2,16,49,74,41,2,1,1
"1032",25000,5,5,2,1,2,18,29,65,61,3,3,0
"1033",22000,5,3,2,2,2,14,17,63,73,3,1,0
"1034",0,5,2,2,1,2,12,52,62,38,2,3,0
"1035",8000,5,8,1,1,2,17,65,68,25,1,3,1
"1037",2000,5,6,2,1,2,16,69,66,21,1,3,0
"1040",18600,5,5,2,1,2,16,64,65,26,1,3,0
"1041",20000,5,2,2,1,2,14,70,62,20,1,3,0
"1042",1e+05,6,1,1,1,2,18,53,73,37,2,3,1
"1043",50000,5,2,2,1,2,15,50,62,40,2,3,0
"1044",27000,5,10,1,1,2,12,48,70,42,2,3,1
"1045",1000,4,10,2,2,2,12,32,58,58,3,1,0
"1046",18000,5,8,1,1,2,12,70,68,20,1,3,1
"1047",17000,5,7,2,1,2,14,67,67,23,1,3,0
"1048",10000,5,4,2,1,2,12,16,64,74,3,3,0
"1051",14000,5,10,1,1,2,14,55,70,35,2,3,1
"1052",7200,6,0,1,1,2,14,24,72,66,3,3,1
"1054",0,5,3,2,9,2,8,38,63,52,3,4,0
"1055",33000,5,3,2,1,2,17,51,63,39,2,3,0
"1056",23000,5,6,1,1,2,12,56,66,34,1,3,1
"1057",10000,5,5,2,1,2,12,49,65,41,2,3,0
"1058",22000,5,1,1,1,2,12,66,61,24,1,3,1
"1059",13000,5,1,2,1,1,12,71,61,19,1,2,0
"1060",33000,5,7,2,1,2,12,59,67,31,1,3,0
"1061",36000,6,1,1,1,2,12,54,73,36,2,3,1
"1063",10000,5,11,2,2,2,14,58,71,32,1,1,0
"1064",6000,5,4,2,1,2,12,30,64,60,3,3,0
"1066",12000,5,7,2,1,2,12,47,67,43,2,3,0
"1067",10000,5,2,2,1,2,11,43,62,47,2,3,0
"1068",21000,5,7,2,1,2,12,45,67,45,2,3,0
"1069",26000,5,9,1,1,2,12,58,69,32,1,3,1
"1070",22000,5,6,2,2,2,12,40,66,50,3,1,0
"1071",23000,5,6,2,2,2,15,36,66,54,3,1,0
"1072",20000,5,6,1,1,2,15,66,66,24,1,3,1
"1074",10000,5,6,2,1,2,13,52,66,38,2,3,0
"1075",15000,5,4,2,1,2,12,19,64,71,3,3,0
"1076",7000,6,0,1,2,2,14,66,72,24,1,1,1
"1077",15000,5,4,2,1,2,12,52,64,38,2,3,0
"1078",0,5,4,2,1,2,12,30,64,60,3,3,0
"1079",26000,5,5,2,1,2,16,56,65,34,1,3,0
"1081",10000,6,0,1,1,2,11,59,72,31,1,3,1
"1083",0,5,3,2,1,2,8,33,63,57,3,3,0
"1084",3000,5,11,1,1,2,14,70,71,20,1,3,1
"1085",27000,5,4,2,1,1,17,49,64,41,2,2,0
"1088",28000,5,4,2,1,2,17,65,64,25,1,3,0
"1090",15000,5,7,2,1,2,12,63,67,27,1,3,0
"1091",55000,6,3,1,1,2,18,60,75,30,1,3,1
"1092",20000,5,6,2,1,1,17,64,66,26,1,2,0
"1093",8500,5,7,2,1,2,12,46,67,44,2,3,0
"1094",0,5,8,2,1,2,12,32,68,58,3,3,0
"1097",30000,5,11,1,1,2,16,60,71,30,1,3,1
"1098",0,5,2,2,1,2,12,24,62,66,3,3,0
"1101",20000,5,8,2,1,2,12,59,68,31,1,3,0
"1103",22000,5,10,1,1,2,6,15,70,75,3,3,1
"1104",25000,5,7,1,1,2,16,64,67,26,1,3,1
"1105",0,5,4,2,1,2,16,28,64,62,3,3,0
"1109",3000,5,11,1,1,2,8,68,71,22,1,3,1
"1110",16000,5,3,2,1,2,12,41,63,49,2,3,0
"1113",0,5,4,2,1,2,12,33,64,57,3,3,0
"1114",10000,5,1,2,2,2,12,51,61,39,2,1,0
"1116",15000,5,5,2,2,2,12,62,65,28,1,1,0
"1117",28000,5,7,1,1,2,12,44,67,46,2,3,1
"1123",31500,5,5,1,1,2,14,55,65,35,2,3,1
"1124",95000,5,6,1,1,2,18,38,66,52,3,3,1
"1127",38000,5,7,1,1,2,12,50,67,40,2,3,1
"1130",30000,6,2,1,1,2,12,49,74,41,2,3,1
"1131",35900,6,2,1,1,2,16,48,74,42,2,3,1
"1132",12000,5,6,2,1,2,13,68,66,22,1,3,0
"1136",10000,5,9,2,1,2,16,65,69,25,1,3,0
"1137",45000,5,6,2,1,2,18,46,66,44,2,3,0
"1140",40000,6,2,1,1,2,16,34,74,56,3,3,1
"1142",21500,6,0,1,1,2,12,63,72,27,1,3,1
"1143",14000,5,6,1,1,2,12,28,66,62,3,3,1
"1144",38000,5,7,1,4,2,17,36,67,54,3,4,1
"1145",1000,5,5,2,1,2,12,72,65,18,1,3,0
"1146",14000,5,6,1,1,2,12,17,66,73,3,3,1
"1147",15000,5,5,2,1,2,12,59,65,31,1,3,0
"1150",0,5,2,2,1,1,12,27,62,63,3,2,0
"1152",24000,5,8,2,1,2,13,48,68,42,2,3,0
"1153",4500,5,4,2,1,2,16,67,64,23,1,3,0
"1154",18000,5,4,2,1,2,16,27,64,63,3,3,0
"1157",14000,5,3,2,1,2,12,70,63,20,1,3,0
"1158",10000,5,9,2,1,2,12,62,69,28,1,3,0
"1159",9500,5,7,2,1,2,12,58,67,32,1,3,0
"1160",11000,5,3,2,1,2,15,24,63,66,3,3,0
"1161",17000,5,7,1,1,2,12,23,67,67,3,3,1
"1162",6000,5,0,2,1,2,13,62,60,28,1,3,0
"1163",2500,5,2,2,1,2,11,32,62,58,3,3,0
"1164",40000,6,0,1,1,2,16,49,72,41,2,3,1
"1165",0,5,7,2,1,2,14,55,67,35,2,3,0
"1166",25000,5,7,1,1,2,16,51,67,39,2,3,1
"1169",28000,5,6,2,2,2,15,30,66,60,3,1,0
"1170",33000,5,6,2,2,2,12,45,66,45,2,1,0
"1172",4000,5,0,2,1,2,8,26,60,64,3,3,0
"1173",0,5,7,2,1,2,12,61,67,29,1,3,0
"1174",4100,5,5,1,1,2,16,60,65,30,1,3,1
"1176",25000,5,9,2,1,2,12,8,69,82,3,3,0
"1177",32000,6,0,1,1,2,12,62,72,28,1,3,1
"1180",13000,5,4,2,1,2,8,32,64,58,3,3,0
"1181",8000,5,4,1,1,1,8,63,64,27,1,2,1
"1183",0,5,2,2,3,2,17,64,62,26,1,4,0
"1185",0,5,5,2,1,2,13,34,65,56,3,3,0
"1186",17000,5,4,2,1,2,12,52,64,38,2,3,0
"1187",15000,5,7,2,1,2,12,13,67,77,3,3,0
"1188",18000,5,6,1,1,2,13,58,66,32,1,3,1
"1189",12000,6,1,1,1,2,12,66,73,24,1,3,1
"1190",7000,6,2,1,1,2,7,41,74,49,2,3,1
"1191",0,5,6,2,1,2,12,66,66,24,1,3,0
"1192",1200,5,5,2,1,2,14,68,65,22,1,3,0
"1193",0,6,0,1,1,2,12,72,72,18,1,3,1
"1194",0,5,4,2,1,2,12,72,64,18,1,3,0
"1197",14000,5,3,1,1,2,12,69,63,21,1,3,1
"1198",17000,5,3,2,1,2,12,50,63,40,2,3,0
"1199",30000,5,6,1,1,2,12,48,66,42,2,3,1
"1201",0,6,0,1,1,2,10,27,72,63,3,3,1
"1205",25000,5,10,1,1,2,12,37,70,53,3,3,1
"1207",22000,5,6,2,1,1,12,57,66,33,1,2,0
"1208",15000,5,3,2,1,2,12,69,63,21,1,3,0
"1211",20000,5,3,2,1,2,16,64,63,26,1,3,0
"1212",9000,5,9,2,1,2,11,56,69,34,1,3,0
"1213",0,5,6,2,1,2,14,66,66,24,1,3,0
"1214",17000,6,1,1,1,2,12,60,73,30,1,3,1
"1218",1800,5,8,2,1,2,12,44,68,46,2,3,0
"1219",18000,5,4,2,1,2,12,44,64,46,2,3,0
"1220",25000,5,3,2,1,2,18,48,63,42,2,3,0
"1223",20000,5,10,1,2,2,16,49,70,41,2,1,1
"1224",75000,5,4,2,1,2,15,50,64,40,2,3,0
"1225",3500,5,6,2,1,2,12,50,66,40,2,3,0
"1226",36000,5,1,2,1,2,12,19,61,71,3,3,0
"1227",30000,6,0,1,1,2,12,65,72,25,1,3,1
"1228",25000,5,5,2,1,2,13,12,65,78,3,3,0
"1229",1000,5,4,2,1,2,14,64,64,26,1,3,0
"1230",60000,5,8,1,1,2,12,24,68,66,3,3,1
"1232",35000,6,2,1,1,2,13,14,74,76,3,3,1
"1233",9000,5,7,1,1,2,13,57,67,33,1,3,1
"1234",35000,5,10,1,1,2,9,6,70,84,3,3,1
"1235",11000,5,6,2,1,2,10,32,66,58,3,3,0
"1236",12000,5,11,1,1,2,12,38,71,52,3,3,1
"1237",30000,5,11,1,1,2,12,47,71,43,2,3,1
"1238",19000,5,11,1,2,2,7,33,71,57,3,1,1
"1240",9000,6,2,1,1,2,9,29,74,61,3,3,1
"1241",30000,6,3,1,1,2,16,61,75,29,1,3,1
"1242",0,5,2,2,1,2,12,57,62,33,1,3,0
"1243",9000,6,0,1,1,2,12,58,72,32,1,3,1
"1244",15000,5,6,2,1,1,16,60,66,30,1,2,0
"1245",8000,5,5,2,2,2,12,59,65,31,1,1,0
"1247",10000,5,6,2,1,2,10,15,66,75,3,3,0
"1249",33000,6,0,1,1,2,12,53,72,37,2,3,1
"1253",12000,5,0,2,1,1,12,62,60,28,1,2,0
"1254",18000,5,4,2,1,2,15,53,64,37,2,3,0
"1257",30000,5,5,2,1,2,13,29,65,61,3,3,0
"1258",12500,5,5,2,1,2,12,58,65,32,1,3,0
"1259",10000,5,2,2,2,2,12,54,62,36,2,1,0
"1260",8500,5,8,1,2,2,13,19,68,71,3,1,1
"1263",21000,6,1,1,2,2,14,44,73,46,2,1,1
"1264",0,5,3,2,1,2,12,61,63,29,1,3,0
"1265",21000,5,4,2,1,2,12,13,64,77,3,3,0
"1268",0,5,6,2,1,2,13,66,66,24,1,3,0
"1270",21000,5,8,2,1,2,17,65,68,25,1,3,0
"1271",0,5,3,2,1,2,13,51,63,39,2,3,0
"1272",5000,5,6,2,1,2,12,38,66,52,3,3,0
"1273",22000,5,11,2,1,2,17,54,71,36,2,3,0
"1275",30000,6,1,1,1,2,14,64,73,26,1,3,1
"1276",0,5,4,2,1,2,12,62,64,28,1,3,0
"1277",123000,5,1,2,1,2,14,32,61,58,3,3,0
"1278",8000,5,3,2,1,2,9,45,63,45,2,3,0
"1279",0,5,3,2,1,2,9,36,63,54,3,3,0
"1280",0,5,2,2,1,2,8,34,62,56,3,3,0
"1281",2000,5,4,2,1,2,9,65,64,25,1,3,0
"1282",7600,5,7,2,1,2,6,28,67,62,3,3,0
"1283",0,5,7,2,1,2,12,72,67,18,1,3,0
"1289",0,5,1,2,1,2,18,45,61,45,2,3,0
"1290",10000,5,3,2,1,2,12,65,63,25,1,3,0
"1291",35000,6,1,1,1,2,12,42,73,48,2,3,1
"1293",15000,5,6,2,1,2,16,33,66,57,3,3,0
"1294",4000,5,10,2,1,2,12,68,70,22,1,3,0
"1295",16000,5,8,1,1,2,8,66,68,24,1,3,1
"1296",200,5,7,2,1,2,12,57,67,33,1,3,0
"1297",23000,6,2,1,1,2,16,65,74,25,1,3,1
"1298",16000,5,4,2,1,2,16,63,64,27,1,3,0
"1299",0,5,1,2,1,2,12,63,61,27,1,3,0
"1300",0,5,6,2,1,2,12,38,66,52,3,3,0
"1301",6000,5,0,2,1,2,12,41,60,49,2,3,0
"1302",600,4,11,2,1,2,9,44,59,46,2,3,0
"1303",0,5,2,2,2,2,16,54,62,36,2,1,0
"1305",0,5,2,2,2,2,14,29,62,61,3,1,0
"1307",0,5,2,2,1,2,12,65,62,25,1,3,0
"1308",28000,6,3,1,4,2,16,56,75,34,1,4,1
"1310",4000,5,6,2,1,2,8,24,66,66,3,3,0
"1311",15000,5,4,1,1,2,12,55,64,35,2,3,1
"1312",15000,5,11,1,1,2,12,65,71,25,1,3,1
"1315",0,5,1,2,1,2,10,55,61,35,2,3,0
"1316",25000,5,3,2,1,2,12,60,63,30,1,3,0
"1317",15000,5,7,2,1,2,12,64,67,26,1,3,0
"1319",40000,5,9,1,1,2,11,46,69,44,2,3,1
"1320",30000,5,10,1,1,2,11,39,70,51,3,3,1
"1321",5000,5,6,2,1,2,12,61,66,29,1,3,0
"1322",35000,6,2,1,1,2,14,56,74,34,1,3,1
"1323",16000,5,5,2,1,2,14,59,65,31,1,3,0
"1326",28000,5,4,2,1,2,16,50,64,40,2,3,0
"1327",20000,5,8,1,1,2,15,48,68,42,2,3,1
"1328",21000,5,6,1,1,2,13,60,66,30,1,3,1
"1330",17000,5,9,1,2,2,12,48,69,42,2,1,1
"1331",24000,5,0,2,1,2,13,40,60,50,3,3,0
"1332",25000,5,1,2,1,2,12,15,61,75,3,3,0
"1333",40000,6,3,1,1,2,12,44,75,46,2,3,1
"1335",0,5,3,2,1,1,9,67,63,23,1,2,0
"1336",0,5,9,1,1,2,13,70,69,20,1,3,1
"1337",0,5,6,2,1,2,16,27,66,63,3,3,0
"1338",8000,5,4,2,1,2,13,71,64,19,1,3,0
"1340",19000,5,3,2,1,1,15,45,63,45,2,2,0
"1343",45000,5,7,2,1,2,16,21,67,69,3,3,0
"1344",5000,5,4,1,2,2,17,57,64,33,1,1,1
"1345",0,6,0,1,1,2,14,69,72,21,1,3,1
"1346",24000,5,3,2,2,2,14,50,63,40,2,1,0
"1347",5000,5,7,2,1,2,14,71,67,19,1,3,0
"1349",33000,5,6,1,1,2,16,56,66,34,1,3,1
"1350",24000,5,5,2,1,2,14,66,65,24,1,3,0
"1351",6000,5,3,2,1,2,13,67,63,23,1,3,0
"1352",90000,5,6,2,1,2,14,35,66,55,3,3,0
"1353",0,5,4,2,1,2,16,45,64,45,2,3,0
"1354",57000,5,4,2,1,2,18,43,64,47,2,3,0
"1356",13800,5,11,1,1,2,14,36,71,54,3,3,1
"1357",30000,5,11,1,1,2,18,53,71,37,2,3,1
"1358",15000,6,0,1,1,2,12,50,72,40,2,3,1
"1359",15000,5,0,2,1,2,14,15,60,75,3,3,0
"1360",31000,5,10,1,1,2,12,61,70,29,1,3,1
"1361",33000,6,2,1,1,2,17,50,74,40,2,3,1
"1363",30000,5,8,1,1,2,18,29,68,61,3,3,1
"1364",12000,6,2,1,1,2,12,52,74,38,2,3,1
"1365",5000,6,3,1,1,2,12,68,75,22,1,3,1
"1366",21000,5,8,1,1,2,12,31,68,59,3,3,1
"1368",28000,5,3,2,1,2,18,44,63,46,2,3,0
"1371",12000,6,0,1,1,2,12,59,72,31,1,3,1
"1372",19000,5,4,2,1,2,12,44,64,46,2,3,0
