"rownames","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","_Isite_2","_Isite_3","_Isite_4","_Isite_5","regular","watched","encouraged","y","pretest"
215,215,4,2,52,2,1,2,23,8,9,16,12,8,20,16,13,23,10,12,94,1,0,0,0,1,0,1,1,0,16,8
216,216,4,1,57,2,1,1,29,17,12,24,12,16,31,32,12,17,9,10,55,1,1,0,0,1,0,1,1,1,32,17
217,217,4,1,46,3,1,1,18,9,10,12,9,14,24,18,11,13,8,10,28,0,1,0,0,1,0,1,1,1,18,9
218,218,4,1,55,2,1,1,14,12,8,14,11,11,27,40,18,35,16,21,32,1,1,0,0,1,0,1,1,1,40,12
219,219,4,1,44,3,1,1,8,11,6,10,6,9,31,23,15,18,10,13,28,0,1,0,0,1,0,1,1,1,23,11
220,220,4,1,56,1,2,2,26,15,12,29,11,12,25,23,13,40,12,16,59,1,0,0,0,1,0,0,0,0,23,15
221,221,4,2,44,2,1,1,14,14,12,10,10,12,25,23,16,26,13,12,27,0,1,0,0,1,0,1,1,1,23,14
222,222,4,1,59,4,1,1,28,17,12,27,10,11,31,46,19,29,16,20,61,1,1,0,0,1,0,1,1,1,46,17
223,223,5,1,48,2,1,1,16,8,8,9,8,8,24,11,9,11,8,7,35,0,1,0,0,0,1,1,1,1,11,8
224,224,5,1,56,2,1,1,22,17,11,23,14,13,30,20,17,38,13,21,58,1,1,0,0,0,1,1,1,1,20,17
225,225,5,2,58,2,1,1,20,18,8,26,11,10,30,44,12,40,13,21,59,1,1,0,0,0,1,1,1,1,44,18
226,226,5,2,53,1,1,1,15,11,2,8,10,5,18,19,10,14,6,8,34,1,1,0,0,0,1,0,0,1,19,11
227,227,5,2,53,1,1,1,26,16,8,14,10,9,28,13,12,18,10,11,41,1,1,0,0,0,1,0,0,1,13,16
228,228,5,2,65,1,1,2,15,16,5,24,12,12,22,15,12,26,11,19,44,1,0,0,0,0,1,0,0,0,15,16
229,229,5,1,46,1,1,2,15,5,5,4,9,4,15,13,10,10,8,11,41,0,0,0,0,0,1,0,0,0,13,5
230,230,5,1,49,1,1,2,19,12,12,16,13,15,28,16,14,36,14,16,59,0,0,0,0,0,1,0,0,0,16,12
231,231,5,1,55,1,1,2,21,40,8,36,9,10,27,49,13,47,9,17,53,1,0,0,0,0,1,0,0,0,49,40
232,232,5,2,46,2,1,1,20,9,6,17,10,11,29,13,12,23,12,8,31,0,1,0,0,0,1,1,1,1,13,9
233,233,5,2,58,4,1,1,30,55,19,52,15,23,31,54,19,54,15,23,78,1,1,0,0,0,1,1,1,1,54,55
234,234,5,1,47,4,1,1,18,13,9,20,8,11,28,34,17,33,11,18,43,0,1,0,0,0,1,1,1,1,34,13
235,235,5,1,53,4,1,1,26,25,14,36,13,13,30,44,19,43,15,23,90,1,1,0,0,0,1,1,1,1,44,25
236,236,5,2,51,2,1,1,30,15,8,12,10,10,30,33,12,45,12,20,49,0,1,0,0,0,1,1,1,1,33,15
237,237,5,1,49,4,1,1,17,16,12,15,8,15,25,26,15,20,12,11,41,0,1,0,0,0,1,1,1,1,26,16
238,238,5,1,43,2,1,1,16,13,6,11,8,9,22,19,10,10,9,7,30,0,1,0,0,0,1,1,1,1,19,13
239,239,5,2,60,3,1,1,23,16,9,33,14,16,29,35,18,50,13,23,69,1,1,0,0,0,1,1,1,1,35,16
240,240,5,1,51,4,1,1,21,11,10,27,10,12,25,32,17,47,11,19,65,0,1,0,0,0,1,1,1,1,32,11
