"","height","weight","female","income","ethnicity","education","mother_education","father_education","walk","exercise","smokenow","tense","angry"
"439","72","250","0","5000","white","14","14","14","2","1","2","0","0"
"440","62","125","1","2100","black","12","12","12","6","1","1","6","6"
"441","70","148","0","15000","black","10","10","10","8","1","1","0","0"
"442","60","120","1","15000","white","13",NA,"13","8","1","2","0","0"
"443","66","140","1","15000","black","12","12","12","2","1","2","3","3"
"444","64","160","0","15000","hispanic","12","12","12","8","6","1","0","0"
"445","71","180","0","15000","white","16","16","16","2","6","2","2","2"
"446","73","250","0","5000","black","12","12","12","7","5","1","0","0"
"447","75","180","0","3192","black","11","11","11","8","7","1","0","0"
"448","62","110","1","15000","other","12","12","12","6","1","2","0","0"
"449","63","123","1","17000","white","17","17","17","5","5","2","1","1"
"450","65","150","1","30000","white","13","13","13","7","7","2","7","7"
"451","70","135","0","15000","white","12","12","12","1","1","2","0","0"
"452","64","110","1","5000","white","16","16","16","7","6","2","0","0"
"453","68","168","0",NA,"other","18","18","18","5","1","2","2","2"
"454","68","170","1","24000","white","16","16","16","6","4","2","1","1"
"455","65","154","1","10000","white","14","14","14","8","1","2","0","0"
"456","69","150","0","50000","white","8","8","8","2","7","1","0","0"
"457","64","170","1","15000","white","11",NA,NA,"1","1","2","0","0"
"458","72","168","0","50000","white","16","16","16","3","2","2","0","0"
"459","69","160","0","150000","white","12","12","12","8","2","1","0","0"
"460","64","150","1","20000","white","17","17","17","4","2","2","0","0"
"461","63","108","1","30000","hispanic","18","18","18","7","2","2","0","0"
"462","68","137","1",NA,"white","18","18","18","8","6","2","0","0"
"463","68","122","1","5000","white","18","18","18","2","1","2","2","2"
"464","64","135","1","0","white","12","12","12","1","1","1","1","1"
"465","66","130","1","0","white","10","10","10","6","1","2","0","0"
"466","70","165","0","25000","white","12","12","12","1","1","2","0","0"
"467","63","134","1","0","white","5",NA,"5","7","1","2","0","0"
"468","73","180","1","22000","white","14","14","14","5","1","2","0","0"
"469","69","165","0",NA,"white","12","12","12","8","3","2","0","0"
"470","75","200","0","27000","white","12","12","12","1","7","2","0","0"
"471","65","210","1","4000","white","12","12","12","4","2","2","1","1"
"472","64","140","1","45000","white","16","16","16","8","4","2","0","0"
"473","66","160","1","17500","white","17","17","17","4","1","2","0","0"
"474","66","112","1","16500","white","14","14","14","7","6","2","3","3"
"475","64","112","1",NA,"white","18","18","18","5","2","2","2","2"
"476","64","190","1","28000","white","16","16","16","3","1","2","5","5"
"477","66","140","1","52000","white","18","18","18","2","5","2","0","0"
"478","64","108","1","15000","white","16","16","16","2","6","2","0","0"
"479","63","140","1","19000","white","13","13","13","8","7","2","2","2"
"480","63","125","1","0","white","13","13","13","8","4","2","0","0"
"481","67","132","1","5000","black","12","12",NA,"3","1","2","2","2"
"482","69","135","1","15000","white","12","12",NA,"5","1","2","1","1"
"483","73","170","0","27000","white","12","12","12","6","6","1","2","2"
"484","72","171","0","15000","white","8","8","8","1","7","1","6","6"
"485","63","120","1",NA,"white","12","12","12","5","4","2","0","0"
"486","66","196","1","0","white","12","12","12","1","2","2","5","5"
"487","72","195","0","15000","white","14","14","14","8","5","2","1","1"
"488","64","150","1","14500","white","12",NA,NA,"7","1","2","0","0"
"489","72","175","0",NA,"white","16","16","16","8","6","2","4","4"
"490","63","153","1",NA,"white","12","12",NA,"1","1","1","6","6"
"491","64","106","1","24000","white","13","13","13","2","1","2","0","0"
"492","65","145","1",NA,"white","14","14","14","6","4","1","3","3"
"493","62","175","1",NA,"white","13","13","13","5","4","1","4","4"
"494","61","115","1","5000","white","12","12","12","4","2","2","1","1"
"495","68","145","0","18000","white","15","15","15","7","7","2","0","0"
"496","62","118","1","4000","white","12","12","12","8","2","2","0","0"
"497","64","129","1","15000","white","12",NA,NA,"6","1","2","0","0"
"498","69","999","1","4000","white","13","13","13","6","1","2","0","0"
"499","66","160","1",NA,"white","15","15","15","4","7","2","0","0"
"500","60","98","1","700","white","12","12","12","8","1","2","7","7"
"501","64","123","1","25000","white","15","15",NA,"7","7","2","0","0"
"502","65","220","1","24000","white","12","12","12","4","1","2","2","2"
"503","60","125","1","15000","white","12",NA,NA,"2","1","2","0","0"
"504","76","215","0","27000","white","12","12","12","7","7","2","0","0"
"505","72","999","1","12000","white","12","12","12","7","7","2","5","5"
"506","72","185","0","4e+05","white","12","12","12","5","4","2","6","6"
"507","62","145","1","22000","white","18","18","18","4","7","2","2","2"
"508","62","140","1","30000","white","13","13","13","1","1","2","1","1"
"509","70","160","0","35000","white","16","16","16","7","6","2","0","0"
"510","71","205","0","35000","white","12","12","12","8","3","2","0","0"
"511","74","195","0","20000","white","12","12","12","8","2","2","7","7"
"512","65","138","1","32000","white","16","16","16","5","1","2","0","0"
"513","63","160","1","6000","other","12","12","12","4","1","1","2","2"
"514","67","150","1","12000","white","12","12","12","3","1","1","0","0"
"515","65","128","1","0","white","16","16","16","2","1","1","0","0"
"516","63","145","1","10000","white","12","12","12","3","1","2","1","1"
"517","65","126","1","1000","white","12","12",NA,"6","6","1","0","0"
"518","64","136","1","12000","white","15",NA,NA,"7","6","1","0","0"
"519","65","140","1","16000","white","12","12","12","7","1","2","1","1"
"520","63","125","1","15000","white","13","13","13","7","1","2","2","2"
"521","68","240","1","0","white","16","16","16","8","1","2","5","5"
"522","63","140","1","25000","white","16","16","16","4","2","2","0","0"
"523","70","135","1","25000","white","12","12",NA,"5","7","2","2","2"
"524","68","180","0","32000","white","12","12",NA,"5","6","2","5","5"
"525","66","180","0",NA,"white","11","11","11","8","1","2","0","0"
"526","67","165","0","35000","white","14","14","14","1","5","2","0","0"
"527","68","130","0","25000","white","12","12","12","8","2","1","7","7"
"528","66","135","1","25000","white","12","12","12","3","1","2","2","2"
"529","65","125","1","6000","white","12","12","12","8","1","1","1","1"
"530","69","165","0","80000","white","14","14","14","4","3","1","0","0"
"531","68","145","1","20000","white","14","14","14","7","1","2","0","0"
"532","66","187","1","1000","white","17","17","17","2","1","2","0","0"
"533","71","165","0","28000","hispanic","13","13","13","1","5","1","0","0"
"534","64","125","0","26000","hispanic","16","16","16","7","7","2","0","0"
"535","74","210","0","27000","white","12","12","12","7","6","2","2","2"
"536","62","112","1","18000","white","13","13","13","5","3","2","2","2"
"537","65","200","1","2000","white","12","12","12","8","1","2","0","0"
"538","69","195","0","20000","white","12","12","12","4","5","2","0","0"
"539",NA,"200","1","5000","black","12","12",NA,"4","1","2","1","1"
"540","72","185","0","15000","black","12","12","12","8","2","2","2","2"
"541","65","160","0",NA,"white","11","11","11","1","1","1","1","1"
"542","66","221","1","6000","white","16","16","16","4","1","2","1","1"
"543","70","180","0","15000","white","11","11","11","8","4","2","0","0"
"544","61","170","1","15000","white","12",NA,NA,"1","3","2","0","0"
"545","60","110","1","0","white","10","10","10","1","1","2","0","0"
"546","70","190","0","5000","white","12","12","12","2","4","2","2","2"
"547","73","130","1","5000","white","11","11","11","8","7","1","0","0"
"548","66","160","1","15000","white","12","12","12","7","1","2","1","1"
"549","57","130","1","35000","hispanic","12","12","12","2","1","2","0","0"
"550","67","210","0","25000","white","11","11","11","8","7","2","0","0"
"551","73","180","0","12000","white","12",NA,NA,"8","3","2","0","0"
"552","65","115","1","0","white","18","18","18","4","5","2","3","3"
"553","62","120","1","15000","white","12","12","12","6","1","2","0","0"
"554","76","165","0","12000","white","12","12",NA,"8","1","1","0","0"
"555","70","175","0","30000","white","14","14","14","8","5","2","0","0"
"556","64","160","1","0","white","12","12","12","6","6","2","2","2"
"557","63","130","1","4000","black","15","15","15","4","4","2","4","4"
"558","67","185","1","5000","black","11","11","11","8","1","2","2","2"
"559","63","115","1","26000","black","13","13","13","7","7","2","0","0"
"560","69","190","1","5000","white","9","9",NA,"8","4","2","0","0"
"561","67","200","1","15000","white","9","9","9","1","1","1","7","7"
"562","66","180","1","15000","black","12","12","12","4","4","1","7","7"
"563","61","140","1","5000","black","12","12","12","7","7","2","1","1"
"564","70","164","0","23000","black","12","12","12","8","7","1","4","4"
"565","71","175","0","21000","white","12","12","12","8","1","1","7","7"
"566","65","135","1","25000","white","12","12","12","5","1","2","3","3"
"567","70","157","0","18000","white","16",NA,"16","4","1","2","1","1"
"568","63","150","1","4000","white","13","13","13","4","6","2","0","0"
"569","64","116","1","23900","white","12","12","12","8","7","2","2","2"
"570","68","145","0","45000","white","12",NA,NA,"8","5","2","0","0"
"571","64","123","1","35000","white","18","18","18","3","6","2","1","1"
"572","67","140","0","26000","white","14","14","14","1","4","1","3","3"
"573","66","172","0","25000","white","16","16","16","2","2","2","1","1"
"574","68","118","1","23500","white","13","13","13","2","4","1","7","7"
"575","65","135","1","12000","white","12","12","12","1","1","2","1","1"
"576","67","140","1","15000","white","12","12","12","5","6","2","2","2"
"577","61","165","1","25000","white","8",NA,NA,"7","1","2","0","0"
"578","73","210","0","3000","white","17","17","17","5","6","2","0","0"
"579","63","200","1","15000","white","12","12","12","2","1","2","0","0"
"580","66","145","1",NA,"white","12","12","12","1","7","2","0","0"
"581","64","200","1","6000","white","12","12","12","8","1","2","2","2"
"582","71","160","0","14000","white","12","12","12","1","1","2","0","0"
"583","63","123","1","15000","white","16","16","16","3","1","2","2","2"
"584","71","180","0","175000","white","16","16","16","8","5","2","2","2"
"585","63","118","1","0","white","12","12","12","3","1","1","1","1"
"586","64","128","1","62000","white","16","16","16","5","1","2","1","1"
"587","73","170","0","1000","white","18","18","18","7","7","2","3","3"
"588","65","140","1","10000","white","14","14","14","6","2","2","0","0"
"589","66","120","0","45000","white","13",NA,"13","4","1","2","0","0"
"590","66","120","1","15000","white","12",NA,NA,"1","1","1","0","0"
"591","60","135","1","35000","white","15","15","15","8","1","2","0","0"
"592","68","165","1",NA,"white","18","18","18","4","1","1","2","2"
"593","59","140","1","20000","white","13","13",NA,"8","1","2","4","4"
"594","70","215","0","5000","white","12","12","12","2","6","1","2","2"
"595","62","135","1",NA,"white","15","15","15","8","2","1","0","0"
"596","70","165","0","35000","white","16","16","16","1","7","2","2","2"
"597","72","152","0","40000","white","16","16","16","4","7","2","0","0"
"598","64","135","1","35000","white","12","12","12","8","7","2","0","0"
"599","72","200","0","25000","white","12","12","12","8","2","1","1","1"
"600","66","170","1","50000","white","16","16","16","4","4","2","0","0"
"601","70","205","0","1e+05","white","18","18","18","5","1","1","0","0"
"602","63","120","1",NA,"white","12","12","12","5","3","2","0","0"
"603","69","145","0","35000","white","13",NA,NA,"1","7","1","0","0"
"604","66","115","1","0","white","12","12","12","5","5","2","2","2"
"605","68","175","1","24000","white","12","12","12","3","1","1","0","0"
"606","64","120","1","0","white","12","12","12","4","1","1","4","4"
"607","67","140","1","25000","white","14","14","14","8","1","2","2","2"
"608","60","130","1",NA,"white","16","16",NA,"8","1","2","0","0"
"609","63","124","1","0","white","12","12",NA,"2","1","2","0","0"
"610","74","268","0","35000","white","17","17","17","6","1","1","0","0"
"611","61","198","1",NA,"white","18","18","18","8","1","2","5","5"
"612","73","230","0","38000","white","16",NA,NA,"7","5","2","0","0"
"613","70","200","0","45000","white","13","13","13","8","4","1","0","0"
"614","73","200","0",NA,"white","13",NA,NA,"8","4","1","2","2"
"615","62","110","1",NA,"white","12","12","12","2","1","2","1","1"
"616","60","130","1","25000","white","8","8","8","8","1","2","0","0"
"617","67","160","0","30000","white","12","12","12","8","6","2","0","0"
"618","64","136","1","5000","hispanic","12","12",NA,"5","1","2","2","2"
"619","67","160","0","148000","white","18","18","18","1","4","2","0","0"
"620","70","165","0","30000","white","12","12","12","2","1","2","0","0"
"621","64","120","1","6500","white","15","15","15","8","6","2","1","1"
"622","62","95","1","3000","white","16","16","16","8","2","2","7","7"
"623","72","175","0","25000","white","15","15",NA,"8","1","1","0","0"
"624","66","200","1","0","white","8",NA,"8","1","1","1","2","2"
"625","69","230","0","23000","white","18","18","18","3","6","2","0","0"
"626","64","999","1",NA,"white","16",NA,NA,"7","1","2","0","0"
"627","63","122","1",NA,"white","14",NA,NA,"7","1","2","0","0"
"628","82","175","0","35000","white","18",NA,"18","4","1","2","1","1"
"629","63","150","1","45000","white","16","16","16","8","1","2","0","0"
"630","68","155","0","40000","white","17","17","17","8","6","2","2","2"
"631","72","180","0","30000","white","14","14","14","8","2","2","1","1"
"632","63","210","1","0","white","14","14","14","8","2","1","7","7"
"633","63","210","1","14000","white","12","12",NA,"6","5","1","0","0"
"634","69","999","1","15000","white","12","12","12","8","1","2","7","7"
"635","64","120","1","26000","white","18","18","18","4","2","1","0","0"
"636","71","195","1","8000","white","12","12","12","8","7","1","7","7"
"637","64","123","1","24000","black","16","16","16","8","6","1","4","4"
"638","72","135","0","0","white","8","8","8","5","5","1","0","0"
"639","62","125","1","0","white","12","12","12","8","2","1","7","7"
"640","66","180","1","0","white","10","10","10","8","5","2","3","3"
"641","72","200","0","15000","white","12",NA,NA,"1","1","2","0","0"
"642","66","140","0","5124","white","8","8","8","1","1","1","3","3"
"643","61","110","1","10000","white","15","15","15","2","4","2","3","3"
"644","64","165","1","5000","white","7",NA,NA,"5","1","1","1","1"
"645","62","111","1","5000","black","13","13","13","8","5","2","0","0"
"646","69","125","1","0","white","13","13",NA,"8","7","2","1","1"
"647","68","145","1","12000","white","16","16","16","7","1","2","7","7"
"648","66","148","1",NA,"white","12","12","12","5","7","1","2","2"
"649","66","155","1","0","white","12","12","12","5","7","1","7","7"
"650","70","170","0",NA,"white","16","16","16","1","7","2","0","0"
"651","68","180","0","50000","white","17","17","17","7","6","2","0","0"
"652","71","158","0","150000","white","16","16","16","5","5","1","0","0"
"653","64","125","1","23000","white","13","13","13","4","2","2","1","1"
"654","61","118","1","0","white","16","16","16","7","1","2","1","1"
"655","68","155","1","25000","white","12","12","12","4","1","2","0","0"
"656","63","174","1","5000","white","9",NA,NA,"5","1","2","0","0"
"657","65","138","1","5000","white","12",NA,NA,"8","1","2","1","1"
"658","64","110","1","5000","white","12","12","12","8","1","2","5","5"
"659","65","130","1","15000","white","12","12","12","8","7","1","0","0"
"660","64","125","1","5000","white","14","14","14","7","2","2","0","0"
"661","66","130","0","40000","black","14","14","14","8","7","1","0","0"
"662","62","124","1","6000","black","13","13","13","7","1","2","7","7"
"663","71","170","0",NA,"white","18","18",NA,"8","5","2","0","0"
"664","65","160","1","5000","black","16","16","16","8","1","2","7","7"
"665","64","190","1","35000","white","8",NA,NA,"8","1","1","7","7"
"666","66","155","1",NA,"white","12","12","12","1","1","2","0","0"
"667","60","120","1","25000","black","12","12","12","8","5","2","0","0"
"668","66","156","0","110000","white","18","18","18","5","5","2","0","0"
"669","61","102","1","25000","white","13","13","13","8","4","1","2","2"
"670","72","145","0","41000","hispanic","13",NA,NA,"8","7","2","0","0"
"671","70","145","1","25000","white","12","12",NA,"5","6","2","0","0"
"672","63","130","1","23000","white","13","13","13","4","4","2","0","0"
"673","68","132","1","15000","white","14",NA,"14","8","5","2","0","0"
"674","63","120","1","0","white","12","12","12","7","5","2","7","7"
"675","70","165","0","21000","white","12","12","12","8","7","1","1","1"
"676","62","150","1","4000","white","12","12","12","5","1","1","7","7"
"677","71","280","0","25000","white","12","12","12","8","4","1","0","0"
"678","70","170","0","30000","white","18","18","18","4","7","1","1","1"
"679","64","159","1","14000","white","11","11",NA,"8","1","2","0","0"
"680","63","115","1","6000","white","12","12","12","3","2","1","7","7"
"681","65","144","1","14000","white","12","12","12","2","1","1","0","0"
"682","71","175","0","43000","white","12","12","12","1","6","2","6","6"
"683","62","128","1","25000","white","15","15","15","8","5","1","7","7"
"684","73","195","0","40000","white","12","12","12","8","1","2","0","0"
"685","64","135","1","25000","white","16","16","16","8","1","2","0","0"
"686","68","220","0","65000","white","17","17","17","5","5","2","3","3"
"687","76","210","0","16000","white","15","15","15","3","4","2","0","0"
"688","70","125","1",NA,"white","16","16","16","8","6","2","0","0"
"689","73","196","0","150000","white","16","16","16","1","1","1","0","0"
"690","70","160","0","87000","white","18",NA,NA,"1","6","2","0","0"
"691","66","120","1","8000","white","12","12","12","8","1","2","0","0"
"692","64","999","1","20000","white","15","15","15","4","4","2","4","4"
"693","60","999","1","14000","white","14","14","14","1","1","2","0","0"
"694","68","140","0","45000","white","12","12","12","8","1","2","0","0"
"695","61","180","1","8000","white","11",NA,NA,"1","1","2","0","0"
"696","65","185","1","15000","white","10",NA,"10","3","1","1","0","0"
"697","66","130","0","12000","white","12","12",NA,"5","4","1","0","0"
"698","63","132","1","8000","white","14","14","14","5","5","2","0","0"
"699","63","105","1","16000","white","15","15","15","1","1","2","2","2"
"700","67","999","1","25000","white","12",NA,NA,"1","2","2","0","0"
"701","74","170","0","6000","white","15","15","15","7","1","1","7","7"
"702","66","160","1","150000","white","12",NA,"12","4","7","2","1","1"
"703","62","108","1",NA,"white","13","13","13","8","4","1","3","3"
"704","70","180","0","19000","white","12","12","12","8","6","2","0","0"
"705","68","155","1","21000","white","13","13","13","6","3","1","5","5"
"706","70","131","1","43000","white","18","18","18","7","3","2","1","1"
"707","69","190","0","35000","white","15","15","15","7","7","2","0","0"
"708","70","175","0","8000","white","10",NA,NA,"8","2","2","0","0"
"709","63","125","1","21000","white","14","14","14","7","1","1","1","1"
"710","65","135","1","5800","white","12","12","12","8","5","2","5","5"
"711","69","185","0","17000","white","12",NA,NA,"5","1","2","0","0"
"712","72","200","0",NA,"white","11",NA,NA,"8","1","2","0","0"
"713","65","120","1","35000","white","12",NA,NA,"2","2","1","2","2"
"714","68","140","0","24000","white","14","14","14","4","3","1","2","2"
"715","62","140","1","5000","white","11","11",NA,"1","1","2","3","3"
"716","70","185","0","62000","white","11","11","11","1","1","2","0","0"
"717","66","150","1","11000","white","12","12","12","8","1","1","3","3"
"718","65","225","0","10000","white","13",NA,"13","5","1","2","0","0"
"719","70","185","0","40000","white","14","14","14","4","4","2","0","0"
"720","66","163","1","0","black","12",NA,"12","8","5","2","0","0"
"721","61","130","1",NA,"white","14","14","14","4","1","2","0","0"
"722","70","170","0","40000","white","12",NA,NA,"8","4","1","0","0"
"723","66","165","1","24000","black","14",NA,NA,"8","2","2","3","3"
"724","65","135","1",NA,"white","12",NA,"12","8","1","2","0","0"
"725","68","160","0",NA,"black","18","18","18","8","7","2","0","0"
"726","68","998","1","25000","white","12","12","12","6","2","1","3","3"
"727","68","160","0","24000","white","16","16","16","1","3","2","0","0"
"728","68","120","0","20000","white","16","16","16","8","3","2","0","0"
"729","63","120","1","15000","white","16","16","16","8","5","2","0","0"
"730","70","200","0",NA,"white","18","18","18","8","6","2","0","0"
"731","70","195","0","60000","white","18","18","18","3","1","2","0","0"
"732","65","155","1","11000","white","13","13","13","5","1","2","0","0"
"733","64","115","1","5000","white","15","15","15","8","2","2","7","7"
"734","66","150","1",NA,"hispanic","12","12","12","7","1","2","0","0"
"735","63","113","1","150000","white","17","17","17","8","6","2","0","0"
"736","69","180","0","87000","white","18","18","18","8","5","2","5","5"
"737","65","135","1","27000","white","16","16","16","7","5","2","0","0"
"738","77","241","0","89000","white","16","16","16","8","1","2","2","2"
"739","70","175","0","40000","white","14","14","14","8","4","2","2","2"
"740","64","120","1","15000","white","16","16","16","8","7","2","0","0"
"741","64","130","1","1000","white","14","14","14","8","6","2","0","0"
"742","69","170","0",NA,"white","12",NA,NA,"4","1","2","0","0"
"743","62","180","1","0","white","12","12","12","4","1","1","7","7"
"744","64","999","1","22000","white","12","12","12","5","1","2","0","0"
"745","64","184","1","12000","white","8","8","8","1","1","1","0","0"
"746","63","125","1","22000","white","16","16","16","4","2","2","2","2"
"747","58","180","1","40000","black","12","12",NA,"8","1","2","0","0"
"748","73","182","0","25000","black","10",NA,NA,"2","6","2","2","2"
"749","66","182","1","0","white","12","12","12","8","6","2","0","0"
"750","64","120","1","62000","white","16","16","16","7","7","2","3","3"
"751","62","150","1","40000","white","16","16","16","5","1","2","0","0"
"752","61","123","1","0","white","13","13","13","6","7","2","0","0"
"753","64","113","1","35000","hispanic","14","14","14","4","2","2","0","0"
"754","64","119","1","7000","white","12","12","12","8","1","2","0","0"
"755","70","190","0","25000","white","14","14",NA,"8","1","2","0","0"
"756","62","118","1","14000","white","12","12","12","6","2","2","0","0"
"757","62","120","1","5000","white","12","12","12","8","1","2","1","1"
"758","64","150","1","15000","white","12","12","12","2","1","2","0","0"
"759","64","150","1",NA,"white","14","14","14","8","7","2","1","1"
"760","66","240","1","0","black","14","14","14","1","1","2","0","0"
"761","66","150","1","6000","white","13","13","13","7","6","2","0","0"
"762","69","223","1","11000","black","12",NA,NA,"1","1","2","7","7"
"763","64","135","1",NA,"white","12","12",NA,"8","7","2","0","0"
"764","64","132","1","10000","white","13","13","13","4","1","2","0","0"
"765","62","168","1","0","white","12","12",NA,"8","1","2","1","1"
"766","62","118","1","5000","white","12","12","12","4","4","1","4","4"
"767","71","193","0","20000","white","14","14","14","8","5","2","2","2"
"768","59","108","1","45000","white","12",NA,NA,"7","1","2","0","0"
"769","62","155","1","7000","white","12","12","12","4","1","2","0","0"
"770","68","185","0","38000","white","9","9","9","8","2","2","1","1"
"771","68","175","0","29000","white","9",NA,NA,"4","1","1","1","1"
"772","62","122","1","20000","white","10","10",NA,"4","1","2","0","0"
"773","63","160","1","8000","white","12","12","12","4","1","1","0","0"
"774","69","175","0","36000","white","16","16","16","8","1","2","0","0"
"775",NA,"110","1","25000","white","12","12","12","8","2","2","0","0"
"776","67","228","1","1500","white","12","12","12","7","7","2","1","1"
"777","64","135","1","42000","white","18","18","18","6","5","2","1","1"
"778","68","135","1","45000","white","17","17","17","8","1","1","1","1"
"779","70","165","0","25000","white","12","12","12","1","7","1","0","0"
"780","62","999","1",NA,"white","16","16","16","8","1","2","7","7"
"781","76","150","0","5000","white","9","9","9","3","6","2","0","0"
"782","69","140","0","13000","white","10","10","10","1","1","1","0","0"
"783","66","133","1",NA,"white","11","11","11","4","1","2","0","0"
"784","66","98","1",NA,"white","12",NA,NA,"8","1","2","1","1"
"785","64","128","1",NA,"white","12","12",NA,"1","1","1","0","0"
"786","72","194","0",NA,"other","15","15","15","8","5","1","3","3"
"787","69","145","0","30000","black","11","11","11","8","1","2","0","0"
"788","69","160","0","7000","white","12",NA,NA,"7","6","2","0","0"
"789","62","118","1","15000","black","12","12","12","8","1","2","0","0"
"790","60","200","1","31000","black","12",NA,NA,"8","1","1","7","7"
"791","66","149","1","15000","black","12","12","12","2","2","2","3","3"
"792","60","135","1","0","white","18","18",NA,"2","1","2","4","4"
"793","67","170","0","50000","white","16","16","16","7","2","2","1","1"
"794","67","120","1","5000","hispanic","11","11","11","1","1","2","3","3"
"795","66","140","0","5000","white","15","15","15","8","7","2","0","0"
"796","65","999","1",NA,"other","16","16","16","5","1","2","0","0"
"797","70","150","1","600","black","12","12","12","7","6","2","3","3"
"798","64","150","1","14000","black","8","8",NA,"8","1","2","0","0"
"799","66","168","1",NA,"black","12","12","12","8","1","2","0","0"
"800","60","105","1","40000","other","18","18","18","8","1","2","0","0"
"801","68","170","0","24000","white","18","18","18","5","7","2","5","5"
"802","66","150","1","25000","black","12",NA,NA,"8","1","2","0","0"
"803","73","180","0","22000","black","12","12",NA,"1","5","1","7","7"
"804","72","215","0","20000","white","8","8","8","4","1","1","1","1"
"805","64","145","1","20112","white","12",NA,NA,"8","5","1","3","3"
"806","67","135","0","12000","white","13","13","13","7","1","1","1","1"
"807","71","180","0","15000","black","8",NA,NA,"8","6","1","0","0"
"808","70","221","0","20000","white","18","18","18","7","7","1","0","0"
"809","66","129","1","5000","white","8","8","8","4","1","2","0","0"
"810","67","140","1","41000","white","13","13","13","7","1","2","1","1"
"811","71","155","0","13000","black","9","9","9","8","1","2","0","0"
"812","63","136","1","0","white","12","12","12","5","5","2","3","3"
"813","73","170","0","60000","white","16","16","16","1","4","1","0","0"
"814","70","155","0","24000","white","16","16","16","8","7","2","4","4"
"815","70","165","0","38000","white","16","16","16","1","7","2","6","6"
"816","71","128","1","3000","white","14","14","14","3","2","2","4","4"
"817","66","110","1","13000","white","12","12","12","4","2","1","0","0"
"818","75","160","0","5000","white","12","12","12","1","2","1","2","2"
"819","60","92","1","20000","white","14","14","14","4","5","2","5","5"
"820","72","230","0","22000","white","12","12","12","4","7","2","5","5"
"821","70","256","1","45000","white","14","14","14","1","1","2","2","2"
"822","63","118","1","0","black","16","16","16","3","7","2","1","1"
"823","75","230","0","28000","black","9",NA,NA,"8","4","2","0","0"
"824","60","110","1","22000","white","12","12","12","6","3","1","7","7"
"825","73","186","0","30000","black","12",NA,"12","8","5","2","1","1"
"826","65","165","0","5000","black","6",NA,NA,"8","1","2","0","0"
"827","65","210","1","30000","black","12","12",NA,"2","1","2","7","7"
"828","63","135","1","45000","white","17","17","17","8","1","2","0","0"
"829","68","209","1",NA,"black","12",NA,NA,"4","3","2","5","5"
"830","67","140","0","30000","white","16","16","16","8","4","2","0","0"
"831","61","130","1","32000","white","12","12","12","8","1","2","0","0"
"832","69","135","1","26000","white","17","17","17","6","5","2","4","4"
"833","64","144","1","22000","white","14","14","14","4","6","1","1","1"
"834","62","190","1","15000","white","14",NA,NA,"5","1","2","0","0"
"835","70","150","0","25000","white","12","12","12","6","5","2","0","0"
"836","68","147","1","11000","white","10","10","10","8","3","1","7","7"
"837","67","140","0","15000","white","12",NA,NA,"8","1","2","0","0"
"838","62","130","1","13000","white","12",NA,NA,"5","1","1","1","1"
"839","64","180","1","10000","white","15","15","15","7","7","1","1","1"
"840","68","110","1","0","white","12","12","12","1","1","2","7","7"
"841","72","200","0","45000","white","16","16","16","8","6","2","0","0"
"842","68","120","1","12000","white","12","12","12","4","4","2","0","0"
"843","64","130","1","25000","white","17","17","17","6","1","2","7","7"
"844","66","130","0","0","white","13","13","13","5","7","1","0","0"
"845","64","118","1","7000","white","11",NA,NA,"8","1","1","0","0"
"846","73","230","0","57000","white","14","14","14","2","1","1","0","0"
"847","73","210","0","36000","white","16","16","16","8","4","2","2","2"
"848","69","175","0","29000","hispanic","14","14","14","7","6","2","4","4"
"849","68","133","1","8000","white","13","13","13","8","4","2","2","2"
"850","71","125","0","3000","black","11","11","11","8","1","2","4","4"
"851","63","160","1","0","white","12","12","12","5","2","2","0","0"
"852","60","110","1",NA,"white","17","17","17","5","1","2","2","2"
"853","66","205","1","20000","white","16","16","16","8","1","2","0","0"
"854","66","158","1","0","white","12",NA,NA,"8","1","1","3","3"
"855","66","173","0","33000","white","12","12","12","7","4","2","1","1"
"856","68","210","1","15000","hispanic","12","12",NA,"8","1","2","0","0"
"857","70","235","0","16000","white","12","12","12","1","1","2","1","1"
"858","62","148","1","5000","white","12","12","12","6","7","2","2","2"
"859","66","142","1","8000","white","14","14","14","5","4","2","3","3"
"860","63","122","1","32000","black","16","16","16","4","1","2","3","3"
"861","75","175","0","14500","white","12","12","12","1","3","1","0","0"
"862","67","125","1","13000","white","12","12","12","2","2","2","6","6"
"863","68","115","0","5000","white","16","16","16","4","5","2","0","0"
"864","60","999","1","5000","black","12","12","12","2","1","2","0","0"
"865","62","125","1","0","white","10",NA,NA,"8","7","2","2","2"
"866","70","200","1","5000","white","11",NA,"11","4","1","2","1","1"
"867","63","160","1","7000","white","9","9","9","7","4","2","1","1"
"868","65","126","1","50000","black","18","18","18","7","1","2","0","0"
"869","69","185","1","12000","black","12","12","12","8","2","1","3","3"
"870","71","209","0","19000","white","14","14","14","8","6","2","0","0"
"871","67","135","1",NA,"white","10","10",NA,"8","1","2","7","7"
"872","62","110","1","9000","white","12","12","12","8","7","1","0","0"
"873","64","110","1","25000","white","12","12","12","2","2","1","4","4"
"874","65","130","1","20000","black","12",NA,NA,"8","1","1","2","2"
"875","72","170","0","55000","hispanic","18","18","18","1","1","2","0","0"
"876","68","145","1",NA,"white","14","14","14","2","7","2","0","0"
"877","62","145","1","15000","black","12",NA,NA,"2","1","2","0","0"
"878","75","190","0","35000","white","18","18","18","6","7","1","4","4"
