"borough" "numunits" "stories" "race" "personrm" "housewgt" "sequenceno" "under6" "cd" "unitflr2" "regext" "totincom2" "subsidy" "housing" "poverty" "povertyx2" "extwin4_2" "extflr5_2" "intcrack2" "inthole2" "intpeel_cat" "intleak2" "duration" "board2" "struct" "old" "help" "rodent2" "foreign" "dilap" "black_Mean" "board2_Mean" "foreign_Mean" "help_Mean" "hispanic_Mean" "old_Mean" "poverty_Mean" "povertyx2_Mean" "pubhous_Mean" "regext_Mean" "struct_Mean" "dilap_Mean" "ownhous_Mean" "duration_Mean" "extwin4_2_Mean" "extflr5_2_Mean" "intcrack2_Mean" "inthole2_Mean" "intleak2_Mean" "vacrate" "bldg"
"3772" 2 6 3 1 0.6 198.50783 204026 2 16 4 0 77500 0 4 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2217
"3773" 2 3 2 1 0.57 235.1939 485276 2 16 2 0 190000 NA 3 0 0 0 0 1 0 0 1 8 0 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2218
"3774" 2 7 3 1 0.17 171.35916 737214 1 16 2 1 8892 1 2 1 1 0 0 0 0 0 0 37 0 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2219
"3775" 2 7 3 1 0.14 171.35916 852423 1 16 2 1 9744 1 2 0 1 0 0 0 0 0 0 38 0 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2219
"3776" 2 7 3 1 0.29 198.50783 271501 1 16 3 1 17544 0 2 0 1 0 0 0 0 0 0 31 0 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2219
"3777" 2 7 3 1 0.29 198.50783 899213 1 16 3 1 70000 0 4 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2219
"3790" 2 7 3 1 0.67 171.35916 597727 1 16 5 0 80000 0 2 0 0 0 0 0 0 0 0 3 0 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2230
"3791" 2 7 3 1 0.25 198.50783 146914 1 16 5 NA 47000 0 2 0 0 0 0 NA NA NA NA 0 0 NA 1 1 NA 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2230
"3801" 2 3 1 1 0.25 255.65527 47782 1 16 2 1 28968 NA 3 0 0 0 0 0 0 0 0 34 0 1 1 1 1 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2235
"3802" 2 3 1 1 0.25 193.6648 103331 1 16 3 1 35000 0 4 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2235
"3818" 2 8 3 5 1 182.1356 181840 1 16 4 1 50000 0 2 0 0 0 0 0 0 0 0 3 1 0 1 1 0 1 NA 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2245
"3824" 2 7 3 4 0.5 139.50704 626013 1 16 5 NA 37200 0 2 0 0 1 0 1 1 2 0 24 1 1 1 1 0 1 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2250
"3827" 2 3 1 1 0.5 216.8856 32891 1 16 2 NA 34000 NA 4 0 0 0 0 NA NA NA NA 1 0 NA 1 NA NA NA 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2252
"3836" 2 1 2 1 0.17 182.04523 942434 1 16 2 0 20000 NA 3 0 0 0 NA 0 0 0 0 27 1 1 1 1 1 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2257
"3861" 2 10 3 2 1 213.67767 458871 1 16 2 1 13000 1 2 0 1 0 0 0 0 0 0 2 0 1 1 1 0 1 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2273
"3862" 2 10 3 2 1 196.18983 871264 1 16 2 NA 15000 0 2 0 1 0 0 0 0 0 0 3 1 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2273
"3863" 2 10 4 2 1 196.18983 914312 1 16 2 NA 17608 1 2 0 1 0 0 0 0 0 0 3 1 1 1 1 0 0 0 0.14 0.23 0.27 0.89 0.13 0.96 0.16 0.26 0.06 0.4 0.84 0.06 0.28 11.46 0.04 0.08 0.16 0.11 0.18 0.08 2274
"3904" 2 1 1 5 0.5 185.62096 225432 1 17 2 0 55000 NA 3 0 0 0 0 0 0 1 0 12 0 1 1 0 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2294
"3907" 2 11 5 1 0.17 271.39524 107476 1 17 7 1 30000 NA 3 0 0 0 0 0 0 0 0 16 0 1 0 1 0 0 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2297
"3908" 2 11 5 1 0.25 163.98099 980403 1 17 7 1 40000 NA 3 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2297
"3914" 2 11 5 1 1 246.27495 50213 1 17 5 1 69000 0 2 0 0 0 0 0 0 0 0 8 0 1 1 1 0 0 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2301
"3915" 2 11 5 1 1 185.62096 866919 1 17 6 1 107160 0 4 0 0 0 0 0 0 0 0 5 0 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2301
"3916" 2 11 5 4 0.67 246.62718 733358 1 17 7 1 56000 0 4 0 0 0 0 0 0 0 0 4 0 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2301
"3917" 2 11 5 1 0.5 134.20713 282574 1 17 2 1 28475 0 4 0 0 0 0 0 0 0 0 6 0 1 1 1 0 0 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2301
"3939" 2 1 1 5 0.33 134.20713 20874 1 17 2 0 52600 NA 3 0 0 0 0 0 0 0 0 16 0 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2314
"3957" 2 5 2 5 0.6 178.94832 475698 1 17 4 0 18000 0 2 0 1 0 0 0 0 0 0 13 0 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2327
"3978" 2 6 2 4 2 246.27495 778265 3 17 3 0 20000 0 4 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2343
"3979" 2 6 2 4 1.33 183.37029 933572 2 17 2 0 16000 0 4 1 1 0 1 0 NA 0 0 0 0 0 1 1 0 1 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2343
"3980" 2 6 2 4 1.75 145.17245 814423 4 17 3 0 43200 0 4 0 1 0 1 NA 1 2 1 2 0 0 1 1 1 1 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2343
"3991" 2 7 3 1 0.4 196.50526 942083 1 17 3 0 53000 0 2 0 0 0 0 1 1 0 1 6 0 0 1 1 NA 0 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2349
"4002" 2 6 2 5 0.67 178.94832 755910 1 17 3 0 34000 0 4 0 0 0 0 0 0 0 0 4 0 0 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2356
"4019" 2 6 2 3 0.75 134.20713 532771 1 17 3 NA 127025 NA 4 0 0 0 0 NA NA NA NA 26 0 NA 1 NA NA NA 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2364
"4053" 2 3 1 3 0.8 185.62096 940758 1 17 2 0 11316 0 4 1 1 0 0 0 0 0 0 1 1 1 1 1 0 1 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2382
"4054" 2 6 2 4 0.67 145.17245 62526 1 17 3 0 31380 0 4 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2383
"4055" 2 6 2 1 1 204.71546 787519 2 17 3 1 23000 0 4 0 1 0 0 0 0 0 0 2 1 0 1 1 1 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2383
"4056" 2 6 2 1 1 246.27495 991902 1 17 4 NA 75000 NA 4 0 0 0 0 NA NA NA NA 8 0 NA 1 NA NA NA 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2383
"4057" 2 7 2 1 1.25 145.17245 462839 2 17 3 1 52000 0 2 0 0 0 0 0 0 0 0 9 0 0 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2384
"4058" 2 7 2 5 1 167.63419 904784 1 17 3 0 11088 1 2 1 1 0 0 1 0 0 0 23 0 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2384
"4059" 2 7 2 1 0.25 246.62718 738952 1 17 4 NA 7824 0 2 1 1 0 0 0 0 0 0 36 0 0 1 1 0 0 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2384
"4060" 2 7 2 1 1.25 145.17245 587128 1 17 4 1 83000 0 2 0 0 0 0 0 0 0 0 9 0 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2384
"4077" 2 6 1 1 1.5 246.27495 907212 1 17 2 NA 55000 0 4 0 0 0 0 0 0 0 0 4 0 0 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2398
"4078" 2 3 2 1 1.29 161.63119 353918 2 17 2 0 23800 1 4 1 1 1 0 0 0 0 0 13 1 0 1 1 0 0 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2399
"4079" 2 3 2 1 0.4 145.17245 876516 1 17 4 NA 10000 NA 4 1 1 1 0 NA NA NA NA 0 0 NA 1 NA NA NA 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2399
"4084" 2 7 3 1 0.33 195.60734 801632 1 17 5 1 0 0 2 1 1 1 0 0 0 0 0 22 0 1 1 0 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2402
"4103" 2 7 2 5 2 167.63419 909530 2 17 3 0 30000 0 2 0 1 1 1 1 1 2 0 6 0 1 1 0 1 1 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2410
"4104" 2 7 2 5 1.33 183.37029 62665 1 17 4 0 33500 0 2 0 1 1 1 1 1 1 0 7 0 0 1 0 1 1 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2410
"4105" 2 7 2 4 0.6 178.94832 457652 1 17 4 0 51700 0 2 0 0 1 1 0 0 0 0 2 0 1 1 0 1 1 1 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2410
"4123" 2 7 2 4 1.75 145.17245 681327 3 17 4 0 36352 0 2 0 1 0 0 0 0 0 0 4 0 1 1 0 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2421
"4124" 2 7 2 4 1 145.17245 716010 2 17 1 1 38000 0 2 0 0 0 0 0 0 0 0 6 0 1 1 1 0 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 2421
"4132" 2 7 3 3 0.6 17.74623 808241 1 17 5 0 29000 0 4 0 1 0 0 0 0 0 1 21 0 0 1 1 1 1 0 0.03 0.15 0.67 0.73 0.3 0.89 0.2 0.41 0 0.29 0.7 0.09 0.28 11.51 0.04 0.13 0.16 0.08 0.18 0.08 4127
"4134" 2 6 3 1 0.4 170.64758 939619 1 18 3 0 152800 NA 3 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2425
"4135" 2 6 3 1 1 246.62718 647121 1 18 3 0 90000 NA 3 0 0 0 0 1 0 1 0 2 1 1 1 1 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2425
"4169" 2 3 3 6 0.25 212.44057 24121 1 18 1 0 5000 NA 3 1 1 0 NA 0 0 0 0 42 0 1 1 0 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2444
"4170" 2 3 3 6 0.2 212.44057 138092 1 18 4 0 7000 NA 4 1 1 0 NA 0 0 0 0 42 0 1 1 1 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2444
"4201" 2 6 3 4 0.2 212.44057 438784 1 18 4 NA 49000 NA 3 0 0 0 NA NA NA NA NA 37 0 NA 1 NA NA NA 1 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2460
"4229" 2 5 3 1 0.5 196.50526 945875 1 18 5 1 53800 0 4 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2473
"4235" 2 12 5 2 0.5 212.44057 742077 1 18 6 NA 42500 NA 2 0 0 0 0 NA NA NA NA 2 1 NA 0 NA NA NA 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2478
"4236" 2 12 5 2 0.33 212.44057 345119 1 18 7 1 34000 0 2 0 0 0 0 0 0 1 0 11 1 1 0 1 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2478
"4237" 2 12 5 2 0.5 209.93114 585823 1 18 7 0 80000 0 2 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2478
"4238" 2 12 5 1 1.33 176.93193 15260 3 18 7 1 4416 1 2 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2478
"4255" 2 10 5 1 0.33 246.62718 24559 1 18 2 0 16130 0 2 0 1 0 0 0 0 0 0 10 0 1 1 1 0 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2491
"4257" 2 6 3 2 0.67 184.20781 585107 1 18 4 0 62140 0 4 0 0 0 0 0 0 1 0 5 0 1 1 1 0 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2493
"4258" 2 6 3 2 1.17 184.20781 101807 1 18 5 0 42700 0 4 0 1 0 0 1 0 0 0 7 0 1 1 1 1 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2493
"4259" 2 6 3 2 1.4 176.93193 828004 2 18 2 0 75468 NA 3 0 0 0 NA 0 0 0 0 24 0 1 1 0 0 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2494
"4275" 2 9 3 2 0.33 212.44057 202576 1 18 4 1 30000 0 2 0 0 0 1 0 0 0 0 3 1 1 1 1 1 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2506
"4277" 2 8 3 2 0.33 184.20781 171730 1 18 4 1 0 0 2 1 1 0 0 1 0 1 1 12 1 1 1 1 0 1 1 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2508
"4304" 2 12 6 2 0.25 209.93114 344117 1 18 6 0 14687 0 1 0 1 0 0 0 0 0 0 15 0 1 0 NA 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2527
"4305" 2 12 6 2 1.33 184.20781 299219 3 18 8 0 3000 0 1 1 1 0 0 0 0 1 0 5 1 0 0 0 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2527
"4306" 2 12 6 2 1.25 184.20781 970161 1 18 8 0 31400 0 1 0 1 0 0 0 0 0 0 20 0 1 0 1 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2527
"4307" 2 12 6 2 0.75 184.20781 667650 1 18 8 1 16820 0 1 0 1 0 0 0 0 0 0 46 1 1 0 1 0 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2527
"4319" 2 10 3 4 1.25 145.17245 371531 2 18 4 1 22000 0 2 1 1 0 NA 1 0 1 1 19 0 1 1 NA 1 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2536
"4320" 2 10 3 2 0.25 246.62718 417888 1 18 5 NA 12972 NA 2 0 1 0 NA NA NA NA NA 30 0 NA 1 NA NA NA 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2536
"4327" 2 10 3 2 0.75 184.20781 396969 1 18 3 0 41860 0 2 0 0 0 0 0 0 0 1 9 0 1 1 0 1 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2541
"4332" 2 11 4 2 0.67 209.93114 910529 1 18 5 0 30000 0 2 0 0 1 0 1 0 0 1 36 0 1 1 1 1 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2545
"4333" 2 11 4 2 1.25 212.44057 656088 1 18 6 1 61000 0 2 0 0 0 0 0 0 0 0 2 0 1 1 0 1 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2546
"4334" 2 11 4 2 1.25 184.20781 666286 2 18 3 0 37800 0 2 0 1 0 0 1 1 2 1 24 0 1 1 0 1 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2546
"4335" 2 11 4 1 0.25 212.44057 931893 1 18 4 1 28475 0 2 0 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2546
"4336" 2 6 2 2 0.33 212.44057 78265 1 18 4 1 0 0 4 1 1 0 1 0 0 0 0 3 1 1 1 1 0 NA 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2547
"4337" 2 6 2 2 0.33 184.20781 295503 1 18 3 1 0 0 4 1 1 0 1 0 0 0 0 3 1 1 1 1 0 NA 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2547
"4342" 2 10 5 2 0.8 176.93193 989290 2 18 2 1 24000 1 2 0 1 1 0 1 0 0 1 21 0 1 1 1 1 0 0 0.76 0.44 0.44 0.66 0.09 0.82 0.31 0.53 0.11 0.54 0.58 0.05 0.18 11.89 0.07 0.07 0.3 0.17 0.33 0.1 2550
"4375" 2 1 1 2 1 208.82591 903828 1 19 2 0 87000 NA 3 0 0 0 0 0 0 0 0 35 0 1 1 1 0 1 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2560
"4376" 2 1 1 2 0.6 208.82591 157502 1 19 2 0 84000 NA 3 0 0 0 0 0 0 0 0 13 0 1 1 1 0 1 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2560
"4377" 2 1 1 2 1.67 208.82591 961629 3 19 2 0 16648 NA 3 1 1 0 0 0 0 0 0 13 0 1 1 1 1 1 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2560
"4378" 2 3 1 2 0.5 182.22949 19624 1 19 3 0 71000 NA 3 0 0 0 0 0 0 0 0 7 0 0 1 1 0 0 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2561
"4379" 2 3 1 2 0.5 219.26141 207026 1 19 2 0 6600 NA 4 1 1 0 0 0 NA 0 0 18 0 1 1 1 0 0 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2561
"4380" 2 3 1 2 0.75 208.82591 345207 1 19 3 0 73000 NA 3 0 0 0 0 0 0 0 0 18 0 1 1 1 1 0 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2561
"4381" 2 3 1 4 2 197.45468 387921 2 19 2 0 37700 0 4 0 1 0 0 0 0 0 1 5 0 1 1 1 1 1 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2561
"4382" 2 3 1 2 0.57 213.67767 845136 1 19 2 1 74904 NA 3 0 0 0 0 0 0 0 0 18 0 1 1 1 1 1 0 0.8 0.09 0.61 0.64 0.07 0.87 0.2 0.43 0 0.35 0.56 0 0.15 11.76 0.01 0.05 0.23 0.14 0.25 0.05 2562
