"y" "defects" "poor" "race" "floor" "dist" "bldg"
"3109" 1 0 5 2 2 13 1801
"3110" 0 0 5 3 2 13 1801
"3111" 0 1 6 2 2 13 1801
"3112" 0 1 5 2 3 13 1802
"3113" 0 0 5 3 2 13 1803
"3114" 1 0 4.24550898203593 2 2 13 1804
"3115" NA 5 6.5 3 4 13 1805
"3116" 1 5 5 2 5 13 1805
"3117" 1 5 5 2 5 13 1805
"3118" 0 0.0406091370558376 5 3 3 13 1806
"3119" 0 0 3 2 3 13 1807
"3120" 1 5 6 2 2 13 1808
"3121" 1 3 5 2 2 13 1809
"3122" 0 1.04060913705584 2 2 2 13 1810
"3123" 0 0 2 2 2 13 1811
"3124" NA 0.5 4 2 2 13 1811
"3125" 1 1 2 2 3 13 1811
"3126" 1 1.04060913705584 4 2 2 13 1812
"3127" 1 5 4 2 5 13 1813
"3128" 1 2 4 4 5 13 1813
"3129" 1 2.04060913705584 5 4 2 13 1814
"3130" 0 4.04060913705584 5 4 3 13 1815
"3131" NA 4.04060913705584 4 4 3 13 1815
"3132" NA 4.04060913705584 4 3 4 13 1815
"3133" 1 3 4 2 3 13 1816
"3134" 1 1 4 2 4 13 1816
"3135" NA 1.66666666666667 3 2 3 13 1816
"3136" 0 1 4 2 2 13 1816
"3137" 0 0 2 2 5 13 1817
"3138" 1 1 2 2 2 13 1818
"3139" 1 0 2 2 3 13 1818
"3140" 0 1 6 2 7 13 1819
"3141" 1 2 7 2 7 13 1819
"3142" 1 1 7 2 3 13 1819
"3143" 0 0 5 2 4 13 1820
"3144" 1 2.04060913705584 4 4 4 13 1821
"3145" 0 1.04060913705584 3 4 3 13 1821
"3146" 1 1 6 2 3 13 1822
"3147" 1 2 6 2 4 13 1822
"3148" 1 2 6 3 4 13 1822
"3149" 0 1 5 2 4 13 1822
"3150" 1 5.04060913705584 2.24550898203593 4 4 13 1823
"3151" NA 2.54060913705584 3.24550898203593 2 2 13 1823
"3152" 1 0.0406091370558376 1.24550898203593 2 2 13 1823
"3153" 0 7 8 3 4 13 1824
"3154" 0 0 6 4 5 13 1825
"3155" 1 5 8 2 4 13 1826
"3156" 1 9 7 3 5 13 1827
"3157" 0 0 4 2 3 13 1828
"3158" NA 1.1059161681928 5.24550898203593 2 4 13 1829
"3159" NA 1.1059161681928 5.24550898203593 2 5 13 1830
"3160" 1 1.04060913705584 4 2 2 13 1831
"3161" 0 2 4 3 5 13 1832
"3162" 0 1 4 4 5 13 1832
"3163" 1 2 5 3 5 13 1832
"3164" 0 2 5 3 5 13 1832
"3165" 1 2 5 2 9 13 1833
"3166" 0 2 6 2 9 13 1833
"3167" 1 1 5 2 9 13 1833
"3168" 1 0.0550847457627119 3 4 2 13 1834
"3169" 0 1 7 2 5 13 1835
"3170" 0 0 8 2 5 13 1835
"3171" 0 3 5 2 5 13 1835
"3172" 0 1 7 3 5 13 1835
"3173" 0 0 5 3 5 13 1836
"3174" 0 0 5 2 6 13 1837
"3175" 0 1 4 2 6 13 1838
"3176" 0 0 5 2 6 13 1838
"3177" 0 3 6 4 7 13 1839
"3178" 0 0 7 4 2 13 1839
"3179" 1 1 4 2 2 13 1839
"3180" 0 1 5 2 2 13 1839
"3181" 0 1 6 4 8 13 1840
"3182" 1 1 6 3 8 13 1840
"3183" 1 3 6 2 8 13 1840
"3184" 1 0 6 2 8 13 1840
"3185" 0 2 6.33333333333333 3 8 13 1841
"3186" 0 0 5 2 8 13 1841
"3187" 1 5 5 2 8 13 1841
"3188" 0 1 4 2 8 13 1841
"3189" 0 0 4 2 3 13 1842
"3190" 0 0 5 3 4 13 1842
"3191" 1 2 5 2 4 13 1842
"3192" 0 2.04060913705584 7 2 4 13 1843
"3193" 0 4 7 6 8 13 1844
"3194" 0 1 8 3 8 13 1844
"3195" 0 2 7 2 8 13 1844
"3196" 0 0 7 2 8 13 1844
"3197" 0 1 7 2 7 13 1845
"3198" 0 0 6 3 7 13 1845
"3199" 1 0 6 3 7 13 1846
"3200" 1 1 7 3 7 13 1847
"3201" 1 8 6 3 2 13 4083
"3202" 1 7 5 3 3 13 4084
"3203" 0 1 4 2 3 13 4101
"3204" 1 2 6 3 2 13 4104
"3205" 1 6 4 4 2 13 4104
"3206" 0 0 3 2 3 13 4104
"3207" 1 4 3 2 3 13 4104
"3208" 0 4 5.24550898203593 2 4 13 4105
"3209" 0 5 5 2 2 13 4128
"3210" 1 2 5 2 2 13 4128
"3211" 0 1 4 2 4 13 4128
"3212" 1 1 3 2 3 14 1848
"3213" 0 1 4 2 2 14 1848
"3214" 0 0 3 4 2 14 1849
"3215" 0 1 2 1 2 14 1850
"3216" 1 8 6 2 4 14 1851
"3217" 1 7 4 2 4 14 1851
"3218" 1 8 6 2 3 14 1851
"3219" 1 2 7 2 3 14 1852
"3220" 1 0 5 4 2 14 1853
"3221" 1 0 3 4 3 14 1853
"3222" 0 0.144444444444444 3 3 2 14 1854
"3223" 1 1.14444444444444 3 4 2 14 1855
"3224" 1 3.14444444444444 4 4 3 14 1856
"3225" 1 3 6 2 4 14 1857
"3226" 1 1.14444444444444 6 2 2 14 1858
"3227" 1 1 4 3 3 14 1859
"3228" 1 1 5 4 2 14 1860
"3229" NA 1 4 4 3 14 1860
"3230" 1 5 1.23456790123457 2 2 14 1861
"3231" NA 1.4660075399382 2.23456790123457 3 2 14 1862
"3232" NA 1.4660075399382 2.23456790123457 1 2 14 1863
"3233" 0 1.31505119178782 3 2 5 14 1864
"3234" 0 0 7 2 5 14 1865
"3235" 0 0 5 2 5 14 1865
"3236" 0 0.144444444444444 3.23456790123457 4 2 14 1866
"3237" 0 0 6 3 2 14 1867
"3238" 0 0 5 3 3 14 1867
"3239" 0 2 6 2 3 14 1868
"3240" 1 1 5 3 2 14 1869
"3241" 0 1 3 3 4 14 1869
"3242" 0 0 2 2 2 14 1870
"3243" 0 1 3 4 3 14 1870
"3244" 1 1 2 2 4 14 1871
"3245" 0 0 1.23456790123457 2 2 14 1872
"3246" 0 0 1.23456790123457 2 2 14 1873
"3247" 1 2 3 4 3 14 1874
"3248" 1 0.144444444444444 2.23456790123457 2 2 14 1875
"3249" 0 1 5 3 2 14 1876
"3250" NA 2.61045198438265 4.23456790123457 3 3 14 1877
"3251" 0 1.14444444444444 2 2 3 14 1878
"3252" NA 1.14444444444444 3 4 4 14 1878
"3253" 1 0 1.23456790123457 2 2 14 1879
"3254" 1 1.12849162011173 3 4 3 14 1880
"3255" 0 1 2.23456790123457 2 2 14 1881
"3256" 0 0 6 2 3 14 1882
"3257" 1 3 4 2 4 14 1883
"3258" 1 1.14444444444444 2 2 3 14 1884
"3259" 1 4 3 2 3 14 1885
"3260" 1 2.14444444444444 2.23456790123457 2 2 14 1886
"3261" 1 5 5 2 3 14 1887
"3262" NA 1.4660075399382 4.23456790123457 3 5 14 1888
"3263" 1 0 6 2 2 14 1889
"3264" 1 0 6 4 2 14 1889
"3265" 1 1 4 2 3 14 1889
"3266" NA 1.61045198438265 3.23456790123457 3 3 14 1890
"3267" 1 3.14444444444444 4 3 3 14 1891
"3268" 1 1 4 4 4 14 1892
"3269" 1 6 5 3 4 14 1893
"3270" 0 1 2 2 2 14 1894
"3271" 0 0 3 2 4 14 1894
"3272" 1 0 5 4 2 14 1895
"3273" 0 0 4 4 3 14 1895
"3274" 1 1 6 3 3 14 1896
"3275" 1 1 6 4 4 14 1896
"3276" 1 9 6.23456790123457 3 4 14 1897
"3277" 0 3 4.23456790123457 2 4 14 1898
"3278" 0 1 5 4 3 14 1899
"3279" 1 3 5 4 2 14 1899
"3280" 0 0.106060606060606 4 2 4 14 1900
"3281" 0 0 3 4 4 14 1901
"3282" 1 0 4 2 1 14 1902
"3283" 0 0 3 2 2 14 1903
"3284" 1 4 3 4 3 14 1903
"3285" NA 7 6 4 4 14 1904
"3286" 1 7 6 4 4 14 1904
"3287" 1 2.14444444444444 3 4 3 14 1905
"3288" 0 0.144444444444444 3 4 2 14 1906
"3289" 1 2 5 4 3 14 1907
"3290" 0 1 4 4 4 14 1907
"3291" 0 1 4 4 4 14 1907
"3292" 0 0.144444444444444 1.23456790123457 2 3 14 1908
"3293" 1 4 6 3 2 14 1909
"3294" 1 2 4 4 2 14 1909
"3295" 1 6.33333333333333 6 3 3 14 1909
"3296" 1 3 5 4 3 14 1909
"3297" 0 1 3 1 2 14 1910
"3298" 0 1 3 3 3 14 1910
"3299" 1 1 3 3 4 14 1910
"3300" 0 0 4 4 2 14 1910
"3301" 0 0 6 3 2 14 1911
"3302" 0 0 7 4 2 14 1911
"3303" 0 3.64720819765184 6 2 3 14 1912
"3304" 0 1.35483870967742 7 2 3 14 1913
"3305" 0 0 5 3 2 14 1914
"3306" 0 0 4 3 2 14 1914
"3307" 1 3.14444444444444 6 3 3 14 1915
"3308" 1 1 6 3 3 14 1916
"3309" 1 6 3 2 4 14 1917
"3310" 0 1.10606060606061 3 1 4 14 1918
"3311" 0 6 3 1 2 14 1919
"3312" 1 2.12849162011173 4 1 2 14 1920
"3313" 0 0 2.23456790123457 5 2 14 1921
"3314" 0 0 4 5 3 14 1922
"3315" NA 0 3 1 3 14 1922
"3316" 0 2 5 3 4 14 1923
"3317" 0 0 2.23456790123457 2 2 14 1924
"3318" 0 1 6 2 3 14 1925
"3319" 1 3 5 3 2 14 1926
"3320" 1 2 3 4 3 14 1927
"3321" 1 2 3 2 2 14 1928
"3322" 0 3.12849162011173 3 2 3 14 1929
"3323" 0 1 5 2 4 14 1930
"3324" 0 1 4 4 4 14 1931
"3325" 0 0 4 2 2 14 1931
"3326" 0 0 4 3 2 14 1931
"3327" 0 2 6 4 3 14 1931
"3328" 1 3 4 4 2 14 1932
"3329" 1 6 4 3 3 14 1933
"3330" 1 3 5 3 3 14 1934
"3331" 1 1 3 4 4 14 1935
"3332" 0 0 3 4 4 14 1935
"3333" 1 1 2.23456790123457 3 2 14 1936
"3334" 1 1.4660075399382 2.23456790123457 4 2 14 1937
"3335" 0 0 4 3 6 14 1938
"3336" 0 0 5 5 6 14 1938
"3337" 0 0 4 4 6 14 1938
"3338" 0 3 4 3 6 14 1938
"3339" 1 7 6 4 4 14 1939
"3340" 1 8 5 2 4 14 1939
"3341" 1 1 5 2 3 14 1940
"3342" 1 2 5 4 3 14 1940
"3343" 0 1 3.23456790123457 1 2 14 1941
"3344" 1 0 3 3 2.5 14 1942
"3345" 1 0 2 3 2 14 1942
"3346" 1 0 3 3 3 14 1942
"3347" 0 1 3 1 3 14 1943
"3348" NA 1.4660075399382 3.23456790123457 1 2 14 1944
"3349" 0 1 3 1 4 14 1945
"3350" 0 1.14444444444444 3 1 3 14 1946
"3351" 0 2 2 4 4 14 1947
"3352" 0 3 4 1 4 14 1948
"3353" 0 5 4 1 4 14 1948
"3354" 0 3 4 4 5 14 1948
"3355" 0 8 4 3 5 14 1949
"3356" 1 1 4.33333333333333 3 4 14 1950
"3357" 0 1 5 3 4 14 1950
"3358" 0 1 7 3 5 14 1950
"3359" 1 1 4 3 5 14 1950
"3360" 0 1 5 3 4 14 1951
"3361" 1 4 6 3 4 14 1951
"3362" 1 2 4 4 2 14 1951
"3363" 1 6 4 4 2 14 1951
"3364" 1 0 5 3 3 14 1952
"3365" 0 2 2 3 3 14 1952
"3366" 1 0 4 4 4 14 1952
"3367" 1 0 5 2 2 14 1953
"3368" 0 0 6 1 3 14 1954
"3369" 1 1 6 3 4 14 1954
"3370" 1 3 4 2 5 14 1955
"3371" 1 1 4 2 5 14 1955
"3372" 1 3 5 2 5 14 1955
"3373" 0 1 5 4 3 14 1956
"3374" 0 1 6 2 4 14 1956
"3375" 0 0 5 4 4 14 1956
"3376" 1 1 5 3 2 14 1956
"3377" 1 2 4 4 2 14 1957
"3378" 0 1 5 3 3 14 1957
"3379" 0 1 5 1 3 14 1958
"3380" 0 1.14444444444444 3 4 4 14 1959
"3381" NA 1 6 3 6 14 1960
"3382" 0 0 7 3 7 14 1960
"3383" 0 1 7 2 7 14 1960
"3384" 0 1 7 2 7 14 1960
"3385" 0 2 6 3 8 14 1961
"3386" 1 2 5 2 8 14 1961
"3387" 0 2 6 4 8 14 1961
"3388" 1 5 3 1 2 14 1962
"3389" 0 1 4 1 2 14 1963
"3390" 0 1 4 1 3 14 1963
"3391" 0 2 5 2 3 14 1964
"3392" 0 5 5 3 4 14 1964
"3393" NA 0 7 4 4 14 1964
"3394" 1 1 8 2 2 14 1965
"3395" 1 5 7 3 2 14 1966
"3396" 1 1 7 3 3 14 1967
"3397" 0 1 6 3 3 14 1967
"3398" 0 0 6 4 5 14 1968
"3399" 0 0 5 2 5 14 1968
"3400" NA 0 5 1 3 14 1968
"3401" 1 4.14444444444444 7 3 3 14 1969
"3402" 0 0 3 1 2 14 4090
"3403" 0 4 2 1 3 14 4090
"3404" 1 5 5 4 2 14 4102
"3405" 1 0 5 4 2 14 4102
"3406" 1 6 6 3 3 14 4102
"3407" 1 1 5 7 3 14 4102
"3408" 1 3 6 3 4 14 4103
"3409" 1 8 4 2 3 14 4106
"3410" 1 3 4 2 4 14 4107
"3411" 0 2 4.23456790123457 1 4 14 4121
"3412" 0 0 1.11602209944751 3 2 15 1970
"3413" 1 1.01041666666667 2.11602209944751 2 2 15 1971
"3414" 0 0 1.11602209944751 2 2 15 1972
"3415" NA 0.919382320305978 1.11602209944751 3 2 15 1973
"3416" 0 3.01041666666667 2.11602209944751 2 2 15 1974
"3417" 0 1 3.11602209944751 1 2 15 1975
"3418" 0 1.01041666666667 4.11602209944751 1 2 15 1976
"3419" 0 0.0104166666666667 2.11602209944751 4 2 15 1977
"3420" 1 0 1.11602209944751 2 2 15 1978
"3421" 0 0.0104166666666667 4.11602209944751 4 2 15 1979
"3422" 1 1 5 2 1 15 1980
"3423" 1 0 2.11602209944751 2 2 15 1981
"3424" 1 0.0104166666666667 3.11602209944751 4 2 15 1982
"3425" 1 1 2.11602209944751 2 2 15 1983
"3426" 0 0 1.11602209944751 2 2 15 1984
"3427" 0 0 1 1 2 15 1985
"3428" 0 0 2 3 2 15 1985
"3429" 0 0 4 3 3 15 1985
"3430" 0 2 2.11602209944751 3 2 15 1986
"3431" 0 0.0104166666666667 4.11602209944751 3 2 15 1987
"3432" 1 1.01041666666667 2.11602209944751 2 2 15 1987
"3433" 1 4.01041666666667 3 2 3 15 1988
"3434" 1 0 1 2 2 15 1989
"3435" 0 0 3 2 3 15 1989
"3436" 1 2.01041666666667 4 3 4 15 1990
"3437" 0 0.0104166666666667 1.11602209944751 2 2 15 1991
"3438" 1 1 2 2 3 15 1992
"3439" 0 1.01041666666667 3 3 2 15 1993
"3440" 0 1.01041666666667 5 3 2 15 1994
"3441" 0 0 3 3 2 15 1995
"3442" 0 1 2.11602209944751 2 2 15 1996
"3443" 1 6.01041666666667 4 2 2 15 1997
"3444" 1 1.01041666666667 3 3 3 15 1998
"3445" 1 0 2.11602209944751 2 2 15 1999
"3446" 0 0 1 2 2 15 2000
"3447" 1 1 2 2 3 15 2000
"3448" 0 0 2 2 3 15 2001
"3449" 0 0 2 2 3 15 2002
"3450" 0 0.0534979423868313 1.11602209944751 2 2 15 2003
"3451" 0 0 1 2 3 15 2004
"3452" 1 1 2 2 2 15 2004
"3453" 1 0 2 2 3 15 2004
"3454" 1 1.01041666666667 4 2 2 15 2005
"3455" 0 0 1.11602209944751 5 2 15 2006
"3456" 1 1.01041666666667 5 5 2 15 2007
"3457" 0 0 1.11602209944751 3 2 15 2008
"3458" 0 1 2.11602209944751 5 2 15 2009
"3459" 0 0.0104166666666667 2.11602209944751 2 2 15 2010
"3460" 0 0 3.11602209944751 3 2 15 2011
"3461" 0 0.0104166666666667 3 3 3 15 2012
"3462" 0 0.0104166666666667 1.11602209944751 2 2 15 2013
"3463" 0 1 3 2 2 15 2014
"3464" 0 1.01041666666667 2 2 3 15 2015
"3465" 1 0 4 4 3 15 2016
"3466" 0 0.0104166666666667 1.11602209944751 3 2 15 2017
"3467" NA 0.0104166666666667 2.11602209944751 4 3 15 2017
"3468" 0 0 2 3 2 15 2018
"3469" 1 3 3 4 1 15 2019
"3470" 0 0 1.11602209944751 2 2 15 2020
"3471" 1 0 2.11602209944751 4 2 15 2021
"3472" 0 0.0104166666666667 6 2 2 15 2022
"3473" 1 1.01041666666667 5 4 5 15 2023
"3474" 0 0 3 1 4 15 2024
"3475" 1 3.01041666666667 5 3 5 15 2025
"3476" 1 1 3 2 2 15 2026
"3477" 0 1 1 2 2 15 2026
"3478" NA 1 4 2 2 15 2026
"3479" 1 1 2 2 3 15 2027
"3480" 0 1.01041666666667 2.11602209944751 2 3 15 2028
"3481" 1 0.0104166666666667 2 3 2 15 2029
"3482" 0 1 1.11602209944751 5 2 15 2030
"3483" 0 0.0104166666666667 3 4 3 15 2031
"3484" 1 0.0104166666666667 3 4 2 15 2031
"3485" 0 0.0104166666666667 1 4 3 15 2031
"3486" 0 1 3.11602209944751 3 2 15 2032
"3487" 0 1 2 3 2 15 2033
"3488" 1 2.01041666666667 5 4 3 15 2034
"3489" 0 2 3 5 3 15 2035
"3490" 0 1 2 4 4 15 2035
"3491" 0 1 4 4 4 15 2035
"3492" 0 0 2.11602209944751 2 2 15 2036
"3493" 1 0 1.11602209944751 2 2 15 2036
"3494" 1 0.0104166666666667 2.11602209944751 2 2 15 2037
"3495" 1 2.01041666666667 2 2 3 15 2038
"3496" 1 5.01041666666667 6 4 4 15 2039
"3497" 1 0 1 3 2 15 2040
"3498" 1 0 3 3 3 15 2040
"3499" 0 3 4 2 3 15 2041
"3500" 0 0 3 5 2 15 2042
"3501" 1 1 1.11602209944751 5 2 15 2043
"3502" 0 0.0104166666666667 3 5 3 15 2044
"3503" 0 1 2.11602209944751 2 2 15 2045
"3504" 1 1.01041666666667 2 4 3 15 2046
"3505" 1 1 2 3 2 15 2047
"3506" 0 3 4 2 4 15 2048
"3507" 0 0 4 2 2 15 2048
"3508" 0 0.0104166666666667 3 2 4 15 2049
"3509" 0 1 2.11602209944751 3 2 15 2050
"3510" 0 0.0639146090534979 4 3 3 15 2051
"3511" 0 0 5 4 3 15 2052
"3512" 1 1.01041666666667 4 3 4 15 2053
"3513" 0 0.0104166666666667 3 3 4 15 2053
"3514" 1 2.01041666666667 2 4 3 15 2054
"3515" 0 0 2 2 2 15 2055
"3516" NA 0.908965653639311 2.11602209944751 2 2 15 2056
"3517" 0 0 4 4 1 15 2057
"3518" 0 0.0104166666666667 3 4 2 15 2058
"3519" 0 1.01041666666667 4 4 3.9375 15 2059
"3520" 1 1 3 4 3 15 2060
"3521" 0 0.0104166666666667 2 2 2 15 2061
"3522" 0 1 2 2 3 15 2062
"3523" 0 0.0534979423868313 2 2 1 15 2063
"3524" 0 1 3 3 3 15 2064
"3525" 0 0 2 2 3 15 2065
"3526" 1 2 2 2 3 15 2065
"3527" 0 2 2 5 3 15 2066
"3528" 1 0 4 4 4 15 2067
"3529" 0 0 2 2 1 15 2068
"3530" 1 1 2 2 2 15 2069
"3531" 0 0 3 2 3 15 2069
"3532" 1 0.0104166666666667 1.11602209944751 2 3 15 2070
"3533" 0 0 2 2 1 15 2071
"3534" NA 0.919382320305978 2.11602209944751 2 3 15 2072
"3535" 1 1 2 2 3 15 2073
"3536" 0 1.01041666666667 3 7 2 15 2074
"3537" 0 5.01041666666667 1 2 3 15 2074
"3538" 0 3.01041666666667 3.11602209944751 4 2 15 2075
"3539" 0 3.01041666666667 2.11602209944751 4 3 15 2076
"3540" 1 0.0104166666666667 3.11602209944751 2 2 15 2077
"3541" 1 1 2 2 3 15 2078
"3542" 0 0.0104166666666667 5 2 4 15 2079
"3543" 1 3.17977150537634 1.11602209944751 2 2 15 2080
"3544" 0 1 1.11602209944751 5 2 15 2081
"3545" 1 1.01041666666667 1.11602209944751 4 2 15 2082
"3546" 0 1 2.11602209944751 5 2 15 2083
"3547" 1 2 4 2 3 15 2084
"3548" 1 1 7 7 4 15 2084
"3549" 1 1.01041666666667 6 2 4 15 2085
"3550" 0 1 3 4 5 15 2086
"3551" 0 1 6 4 4 15 2087
"3552" 0 1 3 3 3 15 2087
"3553" 0 1 4 3 2 15 2088
"3554" 1 1.01041666666667 2 4 2 15 2089
"3555" 0 1.01041666666667 4 4 3 15 2089
"3556" 1 2.01041666666667 3 2 2 15 2089
"3557" 0 1 4 4 3 15 2090
"3558" 1 2.01041666666667 4 4 2 15 2091
"3559" 1 8 4 2 2 15 2092
"3560" 0 2 3 3 3 15 2093
"3561" 1 0 4 2 3 15 2093
"3562" 1 2 6.33333333333333 1 7 15 2094
"3563" 1 2 7 2 7 15 2094
"3564" 0 0 6 1 7 15 2094
"3565" 1 2 6 3 7 15 2094
"3566" 0 1.01041666666667 3 4 4 15 2095
"3567" 1 5.01041666666667 3 2 4 15 2095
"3568" 0 3 3 3 4 15 2096
"3569" 1 0 4 3 2 15 2097
"3570" 0 0 5 3 3 15 2097
"3571" 0 0 4 2 4 15 2097
"3572" 0 0 4 2 5 15 2097
"3573" 0 0 3 2 2 15 2098
"3574" 0 0 4 2 2 15 2098
"3575" 1 2 3 3 2 15 2098
"3576" 1 2 6 3 3 15 2099
"3577" 0 3 2 3 7 15 2100
"3578" 1 5 3 2 7 15 2100
"3579" 1 4 3 2 7 15 2100
"3580" 0 0 3 2 7 15 2100
"3581" 0 2 3 2 7 15 2101
"3582" 1 1 3 2 7 15 2102
"3583" 0 1 3 2 7 15 2102
"3584" 0 0 5 2 6 15 2103
"3585" 0 1 4 3 6 15 2104
"3586" 0 2 6 3 8 15 2105
"3587" 0 0 5 2 8 15 2105
"3588" 0 1 6 2 8 15 2105
"3589" 0 1 6 2 8 15 2105
"3590" 0 0 5.5 7 8 15 2106
"3591" 0 1 4 2 8 15 2106
"3592" 0 1 6 2 8 15 2106
"3593" 0 0 4.5 2 8 15 2106
"3594" 0 0 6 2 7 15 2107
"3595" 0 4 7 2 7 15 2107
"3596" 1 1 5 2 7 15 2107
"3597" 0 0 5 4 7 15 2108
"3598" 0 2 4 2 7 15 2108
"3599" 0 2 5 2 7 15 2108
"3600" 1 0.666666666666667 6 3 7 15 2108
"3601" NA 0.908965653639311 6.11602209944751 4 7 15 2109
"3602" 0 0 4 3 6 15 2110
"3603" 0 1 6 2 6 15 2111
"3604" 0 4 8 2 6 15 2111
"3605" 0 1 7 2 6 15 2112
"3606" 1 3 7 2 7 15 2112
"3607" 1 0 5 2 7 15 2112
"3608" 0 5 6 2 7 15 2113
"3609" 0 4 5 2 7 15 2114
"3610" NA 0.333333333333333 4 1 8 15 2115
"3611" 0 1 2 2 8 15 2115
"3612" 0 0 2 1 8 15 2115
"3613" 0 0 3 3 8 15 2115
"3614" 0 0 4 2 8 15 2116
"3615" 0 0 3 2 8 15 2116
"3616" NA 0 5 4 8 15 2116
"3617" 0 0 4 3 8 15 2116
"3618" 1 1 3 1 8 15 2117
"3619" 0 0 2 3 8 15 2117
"3620" 0 0 4 1 8 15 2117
"3621" 0 0 2 2 8 15 2117
"3622" 0 0 2 2 8 15 2118
"3623" 0 0 2 3 8 15 2119
"3624" 0 0 3 2 8 15 2120
"3625" 1 1 2 2 2 15 2120
"3626" 1 2 4 1 7 15 2121
"3627" 0 0 4 2 7 15 2122
"3628" 1 0 5 1 7 15 2123
"3629" 0 0 5 1 7 15 2124
"3630" 0 1 5 2 4 15 2125
"3631" 1 7 6 2 5 15 2126
"3632" 0 1 4 2 2 15 2127
"3633" 1 3.01041666666667 4 2 3 15 2128
"3634" 0 1 5 2 2 15 2129
"3635" 0 1 3 2 2 15 2130
"3636" NA 2 3 2 2 15 2131
"3637" 0 2 3 2 2 15 2131
"3638" 0 1 5 2 7 15 2132
"3639" 0 0 4 1 7 15 2133
"3640" 0 0 4 1 7 15 2133
"3641" 0 1 4 2 7 15 2134
"3642" 0 1 4 3 8 15 2135
"3643" 0 0 2 3 8 15 2136
"3644" 0 0 3 3 8 15 2136
"3645" 0 0 2 5 8 15 2136
"3646" 0 1 5 3 7 15 2137
"3647" 0 0 7 2 7 15 2137
"3648" 0 1 4 2 7 15 2137
"3649" 0 1 4.33333333333333 2 2 15 2137
"3650" 0 0 5 2 2 15 2138
"3651" 1 0 3 2 2 15 2138
"3652" 0 1 2 2 2 15 2138
"3653" 1 0.0104166666666667 4 2 7 15 2139
"3654" 0 0.0104166666666667 3 2 7 15 2139
"3655" 1 1 5 3 7 15 2140
"3656" 0 0 5 3 3 15 2141
"3657" 1 1 4 2 3 15 2141
"3658" 0 1 4 2 3 15 2141
"3659" 0 0 6 2 3 15 2142
"3660" 0 0 6 2 7 15 2143
"3661" 0 0 4 2 7 15 2144
"3662" 0 1 5 2 7 15 2145
"3663" 0 0 6 2 7 15 2145
"3664" 1 2 5 3 2 15 4085
"3665" 1 2 5 3 3 15 4085
"3666" 0 3 5 4 2 15 4113
"3667" 1 1 5 4 2 15 4113
"3668" 0 1 3 1 3 15 4113
"3669" 0 1 3 4 4 15 4113
"3670" 0 0.0828729281767956 1.07936507936508 1 2 16 2146
"3671" 0 2 2.07936507936508 3 4 16 2147
"3672" 0 0 1.07936507936508 1 2 16 2148
"3673" 0 0 1.07936507936508 5 3 16 2148
"3674" NA 0.902725219642513 1.07936507936508 1 5 16 2149
"3675" 0 0.0828729281767956 1.07936507936508 1 5 16 2150
"3676" 0 0.0828729281767956 1.07936507936508 1 5 16 2150
"3677" 0 3 1.07936507936508 1 4 16 2151
"3678" 0 0.0828729281767956 1.07936507936508 2 4 16 2152
"3679" 0 2 3 1 4 16 2153
"3680" NA 0.902725219642513 1.07936507936508 2 7 16 2154
"3681" 0 0 1.07936507936508 1 7 16 2155
"3682" 0 1.3025641025641 3.07936507936508 1 7 16 2156
"3683" 0 0 2 1 2 16 2157
"3684" 1 4 2 1 3 16 2158
"3685" 0 1 2 1 3 16 2158
"3686" NA 0.902725219642513 1.07936507936508 1 2 16 2159
"3687" 0 1 4 4 3 16 2160
"3688" 0 1 4 1 3 16 2161
"3689" NA 0.902725219642513 3.07936507936508 1 4 16 2162
"3690" 0 0 2 4 4 16 2163
"3691" NA 0.902725219642513 1.07936507936508 1 2 16 2164
"3692" NA 0.902725219642513 3.07936507936508 1 2 16 2165
"3693" 0 1 2.07936507936508 1 3 16 2166
"3694" NA 0.985598147819309 1.07936507936508 1 2 16 2167
"3695" NA 0.985598147819309 2.07936507936508 1 1 16 2168
"3696" 0 0.0828729281767956 2.07936507936508 1 3 16 2169
"3697" 0 1 1.07936507936508 1 2 16 2170
"3698" 1 0.0828729281767956 1.07936507936508 1 2 16 2171
"3699" 0 1.0828729281768 2.07936507936508 1 2 16 2172
"3700" 0 1.0828729281768 2.07936507936508 1 4 16 2172
"3701" 0 0.0828729281767956 1.07936507936508 1 2 16 2173
"3702" NA 0.0828729281767956 4.07936507936508 5 3 16 2173
"3703" 0 0 2 2 1 16 2174
"3704" 0 0 2 1 2 16 2174
"3705" 0 0 2 1 4 16 2175
"3706" 0 1 2 1 5 16 2176
"3707" NA 2.98559814781931 2.07936507936508 1 2 16 2177
"3708" NA 2.98559814781931 1.07936507936508 1 4 16 2178
"3709" NA 1.0828729281768 3 1 2 16 2179
"3710" 0 1.0828729281768 2 1 3 16 2179
"3711" NA 1.66666666666667 4.33333333333333 3 2 16 2180
"3712" 0 0 6 3 3 16 2180
"3713" 0 4 6 3 3 16 2180
"3714" 0 1 4 4 5 16 2180
"3715" 0 4 3 2 3 16 2181
"3716" 0 0 2 1 4 16 2181
"3717" 0 1 2 2 5 16 2182
"3718" 0 2 1.07936507936508 5 2 16 2183
"3719" 1 0 2 5 3 16 2184
"3720" NA 0.985598147819309 4.07936507936508 2 2 16 2185
"3721" NA 0.902725219642513 2.07936507936508 2 3 16 2186
"3722" 0 0.0828729281767956 1 1 3 16 2187
"3723" 0 0.0828729281767956 2 1 2 16 2187
